runtime,l1_error,l2_error,rel_error
8.999346637725830078e+01,3.605840015719376668e-03,2.991270945412716729e-05,5.358219769578435876e-02
3.003366518020629883e+01,3.265584246554308848e-03,2.557422422123336304e-05,5.453385916484748686e-02
2.987605404853820801e+01,3.025470233630151405e-03,2.254956784516358768e-05,7.770977318455747629e-02
3.077831459045410156e+01,3.098159036340337059e-03,2.371237378232488133e-05,6.800165487913367723e-02
3.003332781791687012e+01,3.681552503355087040e-03,3.098288508937461713e-05,1.144311940601558664e-01
2.792874860763549805e+01,3.160757828284567819e-03,2.531766853892725277e-05,5.453230314461696843e-02
3.071022582054138184e+01,3.577051625600760794e-03,2.846371794907167222e-05,7.393950414926363235e-02
2.812195563316345215e+01,3.374389564521673105e-03,2.615115995121467172e-05,5.225832105649639431e-02
2.903067493438720703e+01,2.965547001166972136e-03,2.597554664095132678e-05,7.372604748574873579e-02
3.086603116989135742e+01,3.361454279097220860e-03,3.011825616199720153e-05,5.826636945719924909e-02
