runtime,l1_error,l2_error,rel_error
3.255490422248840332e+01,6.372314081374488327e-03,5.521198053703381452e-05,3.995262260345334299e-02
3.162859058380126953e+01,6.571989211756423463e-03,5.958189334100036746e-05,4.068795381876245953e-02
3.162785458564758301e+01,6.378271332734750804e-03,5.834801102606481093e-05,3.770728113803303860e-02
3.158111405372619629e+01,6.408740666395858210e-03,5.933284607838858416e-05,3.812896763685021811e-02
3.188555288314819336e+01,6.164775439092624182e-03,5.145759201101936150e-05,3.761157039484221143e-02
3.118761420249938965e+01,6.446092042618784858e-03,5.711432317756327879e-05,3.798987109795200212e-02
3.146767616271972656e+01,6.682439025678637255e-03,6.351673420311791890e-05,3.784876582243115045e-02
3.079542589187622070e+01,6.453899242452642952e-03,5.780487713317886481e-05,3.657284679322388155e-02
3.062840199470520020e+01,5.807987827378944569e-03,4.720139165377754934e-05,3.525718642137656844e-02
3.044579076766967773e+01,6.198512724358276257e-03,5.241802692038588160e-05,3.660838706987658980e-02
