runtime,l1_error,l2_error,rel_error
7.656503272056579590e+01,1.528751605422529991e+01,6.784503166135929177e+02,4.205747550198602469e-01
5.547576284408569336e+01,1.437336496853597367e+01,5.420837485288859625e+02,3.334105397958884720e-01
4.186044430732727051e+01,1.539528718575007815e+01,7.885524365377361846e+02,3.073971961583700785e-01
9.546695923805236816e+01,1.285204716847330708e+01,4.138880734932374708e+02,3.321602358408930478e-01
7.896583342552185059e+01,1.377578872614305361e+01,4.714575677852636204e+02,3.358496481760097629e-01
1.934189007282257080e+02,1.620329478942816692e+01,6.743639146463915495e+02,2.982658745135479128e-01
7.825731563568115234e+01,1.673050361733748659e+01,7.788011819510460327e+02,4.229333231877659416e-01
6.086842989921569824e+01,1.879577467860153916e+01,1.084544121996428203e+03,3.615409575393585540e-01
6.370517563819885254e+01,1.432884752353626290e+01,5.737619886483499840e+02,3.178995634905077972e-01
4.094603276252746582e+01,1.374108882162789236e+01,4.605944655856372947e+02,3.557688183875458154e-01
