runtime,l1_error,l2_error,rel_error
4.593495941162109375e+01,4.350205502410558339e-02,5.560833014199636527e-03,4.689073314604924825e+00
4.521256446838378906e+01,4.412485060414729487e-02,6.641432703805009129e-03,6.782794300943082888e+00
4.393749427795410156e+01,2.398277964757836167e-02,1.721518750436946315e-03,1.538254393706864009e+00
4.349913740158081055e+01,3.751872408933407815e-02,4.096068288224378844e-03,1.250601321606194416e+00
4.298936986923217773e+01,3.156582999972896986e-02,2.433426014934054245e-03,1.644440954100016672e+00
4.476321578025817871e+01,3.227233017321898961e-02,3.114399013605784802e-03,3.053926122949619515e+00
4.575411534309387207e+01,3.854878237312640149e-02,3.916889099868788374e-03,2.203927063953552867e+00
4.440752863883972168e+01,1.682336155379841880e-02,5.679809820559181873e-04,1.746677316018707682e+00
4.656956100463867188e+01,3.392520717464882901e-02,3.862211566416128353e-03,3.250948579700010388e+00
4.400478792190551758e+01,3.419031983890387372e-02,3.962096464855124900e-03,5.178927959521733015e+00
