runtime,l1_error,l2_error,rel_error
4.541430830955505371e+01,4.950022601272272525e-03,3.625017129682429337e-05,1.996418078992557785e-02
4.501047563552856445e+01,4.987609112462726250e-03,4.261303841166705602e-05,1.259442231813939599e-02
4.437022233009338379e+01,4.383684797531669716e-03,3.092916897410666745e-05,1.524365354197979201e-02
4.289479279518127441e+01,5.859686919304898066e-03,6.703016011982217311e-05,2.399634705291659592e-02
4.180591225624084473e+01,8.096376588507057936e-03,1.153617449291569562e-04,3.786105624945500236e-02
4.158970999717712402e+01,7.202409170946931852e-03,8.107774501801933277e-05,2.133996171681640242e-02
4.271537685394287109e+01,4.506809120779653281e-03,3.221565872686372133e-05,3.057338207327199575e-02
4.220104312896728516e+01,7.400408677961698746e-03,1.010922369169173728e-04,5.144636614075888403e-02
4.250648450851440430e+01,3.639811017137549801e-03,2.041208792634020678e-05,1.427057227230581725e-02
4.336786293983459473e+01,5.428054491107990945e-03,4.994417830987628554e-05,1.837098383481669192e-02
