runtime,l1_error,l2_error,rel_error
4.578831005096435547e+01,1.171230868524961687e-02,2.291910360098718777e-04,4.584821584439474889e-04
4.246827983856201172e+01,8.925984243248698616e-03,1.424950070132824755e-04,3.541419129419646843e-04
4.276742029190063477e+01,8.284403219001567828e-03,1.176978713887755028e-04,3.250117564113207819e-04
4.238317060470581055e+01,1.036959096934143842e-02,1.781353656326362838e-04,4.073038556506737139e-04
4.432497072219848633e+01,1.146883834045684877e-02,1.924560878188844634e-04,4.549730460739239823e-04
4.349592328071594238e+01,9.537285580324770390e-03,1.409486167269995269e-04,3.759529239968624568e-04
4.369207429885864258e+01,1.043192341105264424e-02,1.921325010240364640e-04,4.080922714101615795e-04
4.206792664527893066e+01,1.173039311147437702e-02,2.628901243790898712e-04,4.477415352401024375e-04
4.466675972938537598e+01,1.549919231856126262e-02,4.185021374155392464e-04,5.942015130188671185e-04
4.292264246940612793e+01,9.966632919435874233e-03,1.433495897769163226e-04,3.866067177298992269e-04
