runtime,l1_error,l2_error,rel_error
8.852419924736022949e+01,3.753857458640067098e-03,2.072302716018318517e-05,1.089118600187634345e-02
8.612199020385742188e+01,4.454987506591154105e-03,2.829420370449457742e-05,1.413584191138344930e-02
8.795118117332458496e+01,4.660742970164611677e-03,2.912071667730752544e-05,1.515700205017413323e-02
8.503473377227783203e+01,4.480016345974011452e-03,2.722857904784954311e-05,1.759260070410785179e-02
8.826019263267517090e+01,4.616521863899558827e-03,3.186992523956507450e-05,1.322175429467181175e-02
8.649160408973693848e+01,4.190702989874186234e-03,2.802019354120190048e-05,1.572588365180684761e-02
8.901783323287963867e+01,6.058795129599317021e-03,4.855015431518390967e-05,2.157007187891136005e-02
8.909307360649108887e+01,3.966057533545094653e-03,2.246122144154276298e-05,1.279828167852089388e-02
9.096992897987365723e+01,4.823876832988604688e-03,3.653712720625481989e-05,1.534276485795395620e-02
8.940807247161865234e+01,3.932444014730013433e-03,2.410030569404227372e-05,1.354297716702627247e-02
