runtime,l1_error,l2_error,rel_error
1.503296234607696533e+02,1.694677429592255757e+00,2.889798494512545890e+00,6.656098486164586936e-02
1.523686609268188477e+02,1.521701031124238268e+00,2.378078284182648883e+00,5.899277946138181683e-02
1.514802916049957275e+02,1.686527519619111182e+00,2.877823677588155160e+00,6.572917117868576353e-02
1.545603425502777100e+02,1.572413635646943142e+00,2.494294786955967957e+00,6.133963039674292933e-02
1.526419539451599121e+02,1.575466595089081823e+00,2.496385949600202547e+00,6.173496464644088327e-02
1.516817109584808350e+02,1.735067119991425599e+00,3.247167690306475230e+00,6.652588101451500924e-02
1.549333200454711914e+02,1.404662971889619083e+00,2.474781760972639244e+00,5.768924393716691468e-02
1.529026279449462891e+02,1.499579677974824055e+00,2.338795449607456778e+00,5.787538797689835424e-02
1.504800298213958740e+02,1.596541176235322101e+00,2.578619343000289721e+00,6.221439745488278189e-02
1.510733711719512939e+02,1.660496712123993968e+00,2.968600194794300151e+00,6.365111483728530528e-02
