runtime,l1_error,l2_error,rel_error
4.790845179557800293e+01,1.013239552351784083e-03,2.262843159267711251e-06,2.228056821222632877e-01
5.383412051200866699e+01,8.296859231190839221e-04,1.389329003429611561e-06,1.203659371795271910e-01
4.820346879959106445e+01,1.506686653023090079e-02,2.466625819330093530e-04,1.624656924312516626e+00
4.401376700401306152e+01,2.436149894663161564e-03,7.400572125637612865e-06,2.572488641336057591e-01
4.726272439956665039e+01,9.666745214344113230e-04,1.481696365906898042e-06,1.356602171889302322e-01
4.635521984100341797e+01,3.862276476916365439e-04,2.460204416306016168e-07,4.780441421473384522e-02
4.450426936149597168e+01,1.084197060661316533e-02,1.352336204742702816e-04,1.039558607745595387e+00
4.445011591911315918e+01,5.298982708493776492e-04,4.419567198784001965e-07,4.360100602060837383e-02
4.589403152465820312e+01,2.234563861734767919e-03,7.285244393259391697e-06,3.347093916435910921e-01
4.697076821327209473e+01,5.174686414048618264e-04,4.758239488713694839e-07,8.407622976220620326e-02
