runtime,l1_error,l2_error,rel_error
1.702179427146911621e+02,1.365785736382346549e+01,5.984589419182148049e+02,3.302490197958901641e-01
1.833652791976928711e+02,1.139209041499631780e+02,1.504195666438911758e+04,1.162806882245963180e+01
1.844280331134796143e+02,1.988005259687413684e+01,1.052913712598518259e+03,6.683427031831243870e-01
1.799991922378540039e+02,1.721562306643345508e+01,6.306816599821474938e+02,8.064656248558683682e-01
1.773417041301727295e+02,1.273868231895467673e+01,4.346934296250329339e+02,5.616009345774717332e-01
1.788001656532287598e+02,1.077535647410488373e+01,3.634397845637606110e+02,3.101164769461984827e-01
1.728690342903137207e+02,3.081047156949790278e+01,1.975844562092809383e+03,1.333746026587177003e+00
1.688960928916931152e+02,2.013323526794029306e+01,7.565737725625555186e+02,7.968139913146748965e-01
1.652840368747711182e+02,2.455146487680212886e+01,9.601170385088853436e+02,1.332975321763295806e+00
1.728780083656311035e+02,3.315493851302871064e+01,3.451573294979598359e+03,1.184250754597100164e+00
