x, true, terminal, branch, dgm, bsde
-8.000000000000000000e+00,-9.998415637808975021e-01,-9.996646498695335170e-01,-9.993823766708374023e-01,-9.993743896484375000e-01,-9.987214803695678711e-01
-7.838383838383838231e+00,-9.998137778194258196e-01,-9.996058496279203176e-01,-9.992321729660034180e-01,-9.993356466293334961e-01,-9.989265203475952148e-01
-7.676767676767676463e+00,-9.997811199249833081e-01,-9.995367441385377694e-01,-9.992471933364868164e-01,-9.993918538093566895e-01,-9.989992380142211914e-01
-7.515151515151515582e+00,-9.997427362698743103e-01,-9.994555291401514552e-01,-9.993344545364379883e-01,-9.992442131042480469e-01,-9.989811778068542480e-01
-7.353535353535353813e+00,-9.996976235445693693e-01,-9.993600851729462775e-01,-9.994560480117797852e-01,-9.993377923965454102e-01,-9.989142417907714844e-01
-7.191919191919192045e+00,-9.996446028467416145e-01,-9.992479227792296914e-01,-9.992471933364868164e-01,-9.992855191230773926e-01,-9.992381334304809570e-01
-7.030303030303030276e+00,-9.995822890319209231e-01,-9.991161182779627614e-01,-9.996484518051147461e-01,-9.992175102233886719e-01,-9.988965988159179688e-01
-6.868686868686868507e+00,-9.995090547455711683e-01,-9.989612385303172637e-01,-9.992583990097045898e-01,-9.990817308425903320e-01,-9.992194175720214844e-01
-6.707070707070706739e+00,-9.994229882255741826e-01,-9.987792528625387689e-01,-9.994624257087707520e-01,-9.990004301071166992e-01,-9.990223050117492676e-01
-6.545454545454544970e+00,-9.993218438126250103e-01,-9.985654300274930950e-01,-9.992163777351379395e-01,-9.989202618598937988e-01,-9.991335868835449219e-01
-6.383838383838384090e+00,-9.992029839311379336e-01,-9.983142177652075677e-01,-9.994029998779296875e-01,-9.988217353820800781e-01,-9.990801811218261719e-01
-6.222222222222222321e+00,-9.990633111020194024e-01,-9.980191021642020877e-01,-9.993222951889038086e-01,-9.986852407455444336e-01,-9.991738200187683105e-01
-6.060606060606060552e+00,-9.988991883180733389e-01,-9.976724436299043708e-01,-9.991289973258972168e-01,-9.984842538833618164e-01,-9.988238215446472168e-01
-5.898989898989898784e+00,-9.987063458499756408e-01,-9.972652858368884488e-01,-9.990808367729187012e-01,-9.983169436454772949e-01,-9.986276626586914062e-01
-5.737373737373737015e+00,-9.984797722530670550e-01,-9.967871335850146952e-01,-9.988911747932434082e-01,-9.980896711349487305e-01,-9.982452392578125000e-01
-5.575757575757576134e+00,-9.982135870107651243e-01,-9.962256950083800966e-01,-9.983332753181457520e-01,-9.978916049003601074e-01,-9.979639053344726562e-01
-5.414141414141413478e+00,-9.979008918784280091e-01,-9.955665831211925054e-01,-9.982336163520812988e-01,-9.975047111511230469e-01,-9.975677728652954102e-01
-5.252525252525252597e+00,-9.975335975832487767e-01,-9.947929712587566531e-01,-9.977380633354187012e-01,-9.971151351928710938e-01,-9.968528747558593750e-01
-5.090909090909090828e+00,-9.971022220954177673e-01,-9.938851966332653554e-01,-9.973157644271850586e-01,-9.966834783554077148e-01,-9.963018298149108887e-01
-4.929292929292929060e+00,-9.965956562220883441e-01,-9.928203060435938365e-01,-9.963151812553405762e-01,-9.962444305419921875e-01,-9.957517385482788086e-01
-4.767676767676767291e+00,-9.960008918038791847e-01,-9.915715378558265236e-01,-9.957006573677062988e-01,-9.956139326095581055e-01,-9.950100779533386230e-01
-4.606060606060605522e+00,-9.953027073383523549e-01,-9.901077348456941429e-01,-9.948717355728149414e-01,-9.949067234992980957e-01,-9.942248463630676270e-01
-4.444444444444444642e+00,-9.944833054537964845e-01,-9.883926835546954504e-01,-9.938263893127441406e-01,-9.939844012260437012e-01,-9.930714368820190430e-01
-4.282828282828281985e+00,-9.935218963654577351e-01,-9.863843777109893018e-01,-9.923700094223022461e-01,-9.930195808410644531e-01,-9.922361373901367188e-01
