x, true, terminal, branch
-1.228333804356132930e+01,8.999999947789596444e-01,8.912763805039174425e-01,8.996835947036743164e-01
-1.202508879015604926e+01,8.978686251679992569e-01,8.888030464801969233e-01,8.975872993469238281e-01
-1.176683953675077099e+01,8.956553751075906344e-01,8.862295600459195732e-01,8.954355120658874512e-01
-1.150859028334549095e+01,8.933559493790822481e-01,8.835504245710158466e-01,8.933145403861999512e-01
-1.125034102994021268e+01,8.909657565864891327e-01,8.807598097215777466e-01,8.910849690437316895e-01
-1.099209177653493263e+01,8.884799189403846942e-01,8.778515039975741674e-01,8.887141942977905273e-01
-1.073384252312965259e+01,8.858932387342328685e-01,8.748188902630683605e-01,8.863574862480163574e-01
-1.047559326972437432e+01,8.832001980405828068e-01,8.716549137215962029e-01,8.834384679794311523e-01
-1.021734401631909428e+01,8.803949026564510394e-01,8.683520832107741727e-01,8.810683488845825195e-01
-9.959094762913814236e+00,8.774710908713572177e-01,8.649024025672605864e-01,8.778756856918334961e-01
-9.700845509508535969e+00,8.744220919844981621e-01,8.612973843546050112e-01,8.752611279487609863e-01
-9.442596256103255925e+00,8.712408044229291715e-01,8.575279887299739334e-01,8.720587491989135742e-01
-9.184347002697975881e+00,8.679196650707502458e-01,8.535846109401827864e-01,8.687332868576049805e-01
-8.926097749292697614e+00,8.644506223057174532e-01,8.494570415010249675e-01,8.651956319808959961e-01
-8.667848495887417570e+00,8.608251133183461024e-01,8.451344706294384723e-01,8.620190620422363281e-01
-8.409599242482137527e+00,8.570340381537638885e-01,8.406054116133303555e-01,8.584119677543640137e-01
-8.151349989076859259e+00,8.530677076071973008e-01,8.358577333425987188e-01,8.545867204666137695e-01
-7.893100735671580104e+00,8.489158437794810386e-01,8.308785966259897293e-01,8.503915667533874512e-01
-7.634851482266300948e+00,8.445675373247292228e-01,8.256544875672169326e-01,8.461776971817016602e-01
-7.376602228861020905e+00,8.400112351661602750e-01,8.201711935577438162e-01,8.415049314498901367e-01
-7.118352975455741749e+00,8.352347108865941783e-01,8.144138017455958556e-01,8.370428085327148438e-01
-6.860103722050462594e+00,8.302250445980123850e-01,8.083667487011652053e-01,8.319613337516784668e-01
-6.601854468645182550e+00,8.249686333734790322e-01,8.020138441489499392e-01,8.267509341239929199e-01
-6.343605215239903394e+00,8.194511534189723445e-01,7.953383357973273782e-01,8.209050893783569336e-01
-6.085355961834624239e+00,8.136576320013361174e-01,7.883229963348432623e-01,8.152755498886108398e-01
-5.827106708429345083e+00,8.075724143496331164e-01,7.809502490428541499e-01,8.094150424003601074e-01
-5.568857455024065928e+00,8.011792344995852799e-01,7.732022903604026665e-01,8.029491305351257324e-01
-5.310608201618785884e+00,7.944612739848269101e-01,7.650613287301171184e-01,7.966271638870239258e-01
-5.052358948213506729e+00,7.874012526272392565e-01,7.565097986252568019e-01,7.898333072662353516e-01
-4.794109694808227573e+00,7.799815588307695835e-01,7.475306454196939399e-01,7.825332880020141602e-01
-4.535860441402947529e+00,7.721843789418902926e-01,7.381076993096508110e-01,7.750132679939270020e-01
-4.277611187997669262e+00,7.639919242426433943e-01,7.282260906910509313e-01,7.671712636947631836e-01
-4.019361934592389218e+00,7.553866901410530854e-01,7.178726882733297288e-01,7.588747739791870117e-01
-3.761112681187109175e+00,7.463517106883527097e-01,7.070366624258249688e-01,7.501146197319030762e-01
-3.502863427781830907e+00,7.368709591346318533e-01,6.957100815252819093e-01,7.407682538032531738e-01
-3.244614174376550864e+00,7.269297499238990268e-01,6.838885137560685168e-01,7.310941815376281738e-01
-2.986364920971272596e+00,7.165152340733215164e-01,6.715717058454816479e-01,7.204626202583312988e-01
-2.728115667565992553e+00,7.056169084197436714e-01,6.587642400504584161e-01,7.095874547958374023e-01
-2.469866414160712509e+00,6.942272478562191429e-01,6.454761683723770904e-01,6.980665326118469238e-01
-2.211617160755434242e+00,6.823423215454954560e-01,6.317235842384201217e-01,6.860315203666687012e-01
-1.953367907350154198e+00,6.699624574232304619e-01,6.175290714717960316e-01,6.732783317565917969e-01
-1.695118653944874154e+00,6.570929022453735335e-01,6.029220515708819672e-01,6.601163148880004883e-01
-1.436869400539595887e+00,6.437444498023312534e-01,5.879388475068560993e-01,6.467674970626831055e-01
-1.178620147134315843e+00,6.299340017059797958e-01,5.726225963626324633e-01,6.330928206443786621e-01
-9.203708937290357994e-01,6.156850002867071403e-01,5.570228765013309769e-01,6.194837093353271484e-01
-6.621216403237575321e-01,6.010277419908802710e-01,5.411950344610699792e-01,6.053788065910339355e-01
-4.038723869184774884e-01,5.859994423024207366e-01,5.251992579905716552e-01,5.903872847557067871e-01
-1.456231335131992211e-01,5.706440796756284684e-01,5.090994362706715570e-01,5.742357373237609863e-01
1.126261198920808226e-01,5.550120154637447900e-01,4.929617973148653909e-01,5.573810338973999023e-01
3.708753732973608663e-01,5.391592733548662419e-01,4.768534205880397003e-01,5.400670170783996582e-01
6.291246267026391337e-01,5.231465794119604107e-01,4.608407266451337581e-01,5.230177640914916992e-01
8.873738801079191774e-01,5.070382026851346646e-01,4.449879845362552100e-01,5.064281821250915527e-01
1.145623133513197445e+00,4.909005637293284985e-01,4.293559203243716427e-01,4.902221560478210449e-01
1.403872386918477488e+00,4.748007420094283448e-01,4.140005602431624521e-01,4.741583466529846191e-01
1.662121640323757532e+00,4.588049655389300208e-01,3.989722580091197290e-01,4.575933516025543213e-01
