x, true, terminal, branch, dgm
-5.000000000000000000e+00,4.211104057944769465e+02,5.751127206880941003e+02,4.106353149414062500e+02,4.489227600097656250e+02
-4.898989898989898784e+00,3.881787149948620481e+02,5.324503734944082680e+02,3.990336303710937500e+02,4.194902954101562500e+02
-4.797979797979797567e+00,3.574344078614852833e+02,4.924111849188053043e+02,3.462390136718750000e+02,3.907941284179687500e+02
-4.696969696969697239e+00,3.287736363677453824e+02,4.548814130772234421e+02,3.456420898437500000e+02,3.631449584960937500e+02
-4.595959595959596022e+00,3.020950509358936529e+02,4.197498145344537761e+02,2.911069946289062500e+02,3.375669555664062500e+02
-4.494949494949494806e+00,2.772998004370359695e+02,3.869076443041413995e+02,2.728316040039062500e+02,3.123170776367187500e+02
-4.393939393939393590e+00,2.542915321911315232e+02,3.562486558487852903e+02,2.700093078613281250e+02,2.881952819824218750e+02
-4.292929292929293261e+00,2.329763919669932193e+02,3.276691010797380841e+02,2.358542938232421875e+02,2.655331420898437500e+02
-4.191919191919192045e+00,2.132630239822873079e+02,3.010677303572053916e+02,2.314660644531250000e+02,2.441828308105468750e+02
-4.090909090909090828e+00,1.950625709035340378e+02,2.763457924902469358e+02,1.926157531738281250e+02,2.244551544189453125e+02
-3.989898989898989612e+00,1.782886738461072582e+02,2.534070347367762963e+02,1.761775665283203125e+02,2.064037628173828125e+02
-3.888888888888888840e+00,1.628574723742343906e+02,2.321577028035604826e+02,1.590873260498046875e+02,1.894550781250000000e+02
-3.787878787878788067e+00,1.486876045009964855e+02,2.125065408462199912e+02,1.494286651611328125e+02,1.737743225097656250e+02
-3.686868686868686851e+00,1.357002066883281088e+02,1.943647914692290612e+02,1.413573455810546875e+02,1.596828918457031250e+02
-3.585858585858585634e+00,1.238189138470177539e+02,1.776461957259156748e+02,1.265472869873046875e+02,1.464810638427734375e+02
-3.484848484848484862e+00,1.129698593367074722e+02,1.622669931184614711e+02,1.147933807373046875e+02,1.344036865234375000e+02
-3.383838383838384090e+00,1.030816749658928160e+02,1.481459215979016335e+02,1.054464340209960938e+02,1.236310424804687500e+02
-3.282828282828282873e+00,9.408549099192303800e+01,1.352042175641248889e+02,9.690014648437500000e+01,1.135922698974609375e+02
-3.181818181818181657e+00,8.591493612100116195e+01,1.233656158658738207e+02,8.892736816406250000e+01,1.045103759765625000e+02
-3.080808080808080884e+00,7.850613750818374115e+01,1.125563498007446839e+02,8.150267791748046875e+01,9.626493835449218750e+01
-2.979797979797979668e+00,7.179772075738097215e+01,1.027051511151870926e+02,7.473912048339843750e+01,8.889569854736328125e+01
-2.878787878787878896e+00,6.573080992135676581e+01,9.374325000450461687e+01,6.855439758300781250e+01,8.209916687011718750e+01
-2.777777777777777679e+00,6.024902750172856969e+01,8.560437511285427092e+01,6.291166305541992188e+01,7.594526672363281250e+01
-2.676767676767676907e+00,5.529849444896759536e+01,7.822475353324678338e+01,5.776703643798828125e+01,7.045085144042968750e+01
-2.575757575757575690e+00,5.082783016239860530e+01,7.154311080754651186e+01,5.311026763916015625e+01,6.533141326904296875e+01
-2.474747474747474918e+00,4.678815249020007627e+01,6.550067092647152833e+01,4.890127944946289062e+01,6.066055297851562500e+01
-2.373737373737373701e+00,4.313307772940407858e+01,6.004115632959339877e+01,4.506209182739257812e+01,5.632572174072265625e+01
-2.272727272727272929e+00,3.981872062589635419e+01,5.511078790533750293e+01,4.162659072875976562e+01,5.247047805786132812e+01
-2.171717171717171713e+00,3.680369437441625990e+01,5.065828499098273596e+01,3.854106903076171875e+01,4.883277130126953125e+01
-2.070707070707070940e+00,3.404911061855685972e+01,4.663486537266172149e+01,3.577296829223632812e+01,4.551383590698242188e+01
-1.969696969696969724e+00,3.151857945076478984e+01,4.299424528536066958e+01,3.326389312744140625e+01,4.243554306030273438e+01
-1.868686868686868952e+00,2.917820941234037591e+01,3.969263941291949038e+01,3.100199317932128906e+01,3.957426071166992188e+01
-1.767676767676767735e+00,2.699660749343755839e+01,3.668876088803167335e+01,2.885228919982910156e+01,3.688586807250976562e+01
-1.666666666666666519e+00,2.494487913306395654e+01,3.394382129224440803e+01,2.682400512695312500e+01,3.438675308227539062e+01
-1.565656565656565746e+00,2.299662821908081156e+01,3.142153065595851302e+01,2.486950302124023438e+01,3.203264236450195312e+01
-1.464646464646464530e+00,2.112795708820300433e+01,2.908809745842843242e+01,2.297603225708007812e+01,2.985920715332031250e+01
-1.363636363636363757e+00,1.931746652599908387e+01,2.691222862776227842e+01,2.112251853942871094e+01,2.775391197204589844e+01
-1.262626262626262541e+00,1.754625576689121758e+01,2.486512954092178518e+01,1.928247451782226562e+01,2.583584022521972656e+01
-1.161616161616161769e+00,1.579792249415524097e+01,2.292050402372236206e+01,1.740173912048339844e+01,2.394084548950195312e+01
-1.060606060606060552e+00,1.405856283992060440e+01,2.105455435083302618e+01,1.557852363586425781e+01,2.214157485961914062e+01
-9.595959595959593358e-01,1.231677138517043346e+01,1.924598124577646630e+01,1.369760894775390625e+01,2.044683647155761719e+01
-8.585858585858590075e-01,1.056364115974149698e+01,1.747598388092902155e+01,1.187183856964111328e+01,1.877735710144042969e+01
-7.575757575757577911e-01,8.792763642324171514e+00,1.572825987752063526e+01,1.000037288665771484e+01,1.716417694091796875e+01
-6.565656565656565746e-01,7.000228760462511524e+00,1.398900530563493305e+01,8.112653732299804688e+00,1.557853412628173828e+01
-5.555555555555553582e-01,5.184624890554212051e+00,1.224691468420917673e+01,6.232975959777832031e+00,1.406667137145996094e+01
-4.545454545454550299e-01,3.347038857850623383e+00,1.049318098103427843e+01,4.318152427673339844e+00,1.254622459411621094e+01
-3.535353535353538135e-01,1.491055936456693543e+00,8.721495612754763371e+00,2.379697322845458984e+00,1.109488105773925781e+01
-2.525252525252525970e-01,-3.772401506689373463e-01,6.928048444868832867e+00,4.335284829139709473e-01,9.656164169311523438e+00
-1.515151515151513806e-01,-2.249267231713999671e+00,5.111527791728326164e+00,-1.462933540344238281e+00,8.286300659179687500e+00
-5.050505050505016413e-02,-4.113944686012581009e+00,3.273120416538722655e+00,-3.417705535888671875e+00,6.971433162689208984e+00
5.050505050505016413e-02,-5.957693444045104592e+00,1.416511531359165410e+00,-5.331344604492187500e+00,5.692813873291015625e+00
1.515151515151513806e-01,-7.764435987438402798e+00,-4.521152028976080928e-01,-7.231732845306396484e+00,4.483704566955566406e+00
2.525252525252525970e-01,-9.515596348965612350e+00,-2.324077676465166498e+00,-9.091044425964355469e+00,3.327282667160034180e+00
3.535353535353538135e-01,-1.119010011254624359e+01,-4.188195330723450738e+00,-1.085245800018310547e+01,2.282280206680297852e+00
4.545454545454541417e-01,-1.276437441324614142e+01,-6.030789158198740729e+00,-1.255242443084716797e+01,1.346602439880371094e+00
5.555555555555553582e-01,-1.421234793727755275e+01,-7.835681702563722872e+00,-1.409356880187988281e+01,4.708032608032226562e-01
6.565656565656565746e-01,-1.550545092199904218e+01,-9.584197058637382582e+00,-1.548280906677246094e+01,-2.345867156982421875e-01
7.575757575757577911e-01,-1.661261515591554527e+01,-1.125516087238509044e+01,-1.671210670471191406e+01,-7.740322351455688477e-01
8.585858585858581193e-01,-1.750027397867832946e+01,-1.282490034091854270e+01,-1.776310729980468750e+01,-1.217121958732604980e+00
9.595959595959593358e-01,-1.813236228108505799e+01,-1.426724421249584296e+01,-1.855023574829101562e+01,-1.466196179389953613e+00
1.060606060606060552e+00,-1.847031650507971534e+01,-1.555352278652141251e+01,-1.909531593322753906e+01,-1.482033252716064453e+00
1.161616161616161769e+00,-1.847307464375266051e+01,-1.665256791354602939e+01,-1.937287139892578125e+01,-1.290094494819641113e+00
1.262626262626262097e+00,-1.809707624134059856e+01,-1.753071299526682836e+01,-1.930811500549316406e+01,-8.291600346565246582e-01
1.363636363636363313e+00,-1.729626239322659487e+01,-1.815179298452731871e+01,-1.891241073608398438e+01,-6.867112964391708374e-02
1.464646464646464530e+00,-1.602207574594005024e+01,-1.847714438531734515e+01,-1.811437606811523438e+01,1.086972951889038086e+00
1.565656565656565746e+00,-1.422346049715676486e+01,-1.846560525277310916e+01,-1.682182121276855469e+01,2.637355566024780273e+00
1.666666666666666963e+00,-1.184686239569884947e+01,-1.807351519317717958e+01,-1.506335735321044922e+01,4.645308017730712891e+00
1.767676767676767291e+00,-8.836228741534824849e+00,-1.725471536395848204e+01,-1.272545719146728516e+01,7.178176879882812500e+00
1.868686868686868507e+00,-5.133008385779484151e+00,-1.596054847369227403e+01,-9.759523391723632812e+00,1.035509109497070312e+01
1.969696969696969724e+00,-6.761517306940385552e-01,-1.413985878210018043e+01,-6.071565151214599609e+00,1.423448657989501953e+01
2.070707070707070940e+00,4.597889270313969767e+00,-1.173899210005019356e+01,-1.590060591697692871e+00,1.904264450073242188e+01
2.171717171717171269e+00,1.075516111269055841e+01,-8.701795789556683758e+00,3.703533649444580078e+00,2.485876083374023438e+01
2.272727272727272485e+00,1.786420874073558451e+01,-4.969618763780290216e+00,9.953267097473144531e+00,3.174726486206054688e+01
2.373737373737373701e+00,2.599607554760237349e+01,-4.813114870280807978e-01,1.729161453247070312e+01,3.976657867431640625e+01
2.474747474747474918e+00,3.522430337529793576e+01,4.826774025246520772e+00,2.569969558715820312e+01,4.943709564208984375e+01
2.575757575757575246e+00,4.562493251468287525e+01,1.102078420644372869e+01,3.527095794677734375e+01,6.079966354370117188e+01
2.676767676767676463e+00,5.727650170547168074e+01,1.816936393881751144e+01,4.591951370239257812e+01,7.376898956298828125e+01
2.777777777777777679e+00,7.026004813623222844e+01,2.634365655347532709e+01,5.793115234375000000e+01,8.835700988769531250e+01
2.878787878787878896e+00,8.465910744438609470e+01,3.561730383037839687e+01,7.161528778076171875e+01,1.050010223388671875e+02
2.979797979797979224e+00,1.005597137162084067e+02,4.606644599834140053e+01,8.785899353027343750e+01,1.235975570678710938e+02
3.080808080808081328e+00,1.180503994868285673e+02,5.776972173503309449e+01,1.062196273803710938e+02,1.439672088623046875e+02
3.181818181818181657e+00,1.372221957402283579e+02,7.080826816697519632e+01,1.263898544311523438e+02,1.665432128906250000e+02
3.282828282828281985e+00,1.581686319092443682e+02,8.526572086954364238e+01,1.473805999755859375e+02,1.913137664794921875e+02
3.383838383838384090e+00,1.809857358755668315e+02,1.012282138669681189e+02,1.697866210937500000e+02,2.181755676269531250e+02
3.484848484848484418e+00,2.057720339697382883e+02,1.187843796323311096e+02,1.875325164794921875e+02,2.465572204589843750e+02
3.585858585858586522e+00,2.326285509711568693e+02,1.380253490875699072e+02,2.200282897949218750e+02,2.774664916992187500e+02
3.686868686868686851e+00,2.616588101080724869e+02,1.590447516034741398e+02,2.478753204345703125e+02,3.102199707031250000e+02
3.787878787878787179e+00,2.929688330575896771e+02,1.819387149996881021e+02,2.779808654785156250e+02,3.440689086914062500e+02
3.888888888888889284e+00,3.266671399456673157e+02,2.068058655447099454e+02,3.185802001953125000e+02,3.798305053710937500e+02
3.989898989898989612e+00,3.628647493471160033e+02,2.337473279558899719e+02,3.590653076171875000e+02,4.167670898437500000e+02
4.090909090909089940e+00,4.016751782856013051e+02,2.628667253994335056e+02,3.875929870605468750e+02,4.538359375000000000e+02
4.191919191919192045e+00,4.432144422336432399e+02,2.942701794903997552e+02,4.398887329101562500e+02,4.920399780273437500e+02
4.292929292929292373e+00,4.876010551126130395e+02,3.280663102926996544e+02,4.938453674316406250e+02,5.301278076171875000e+02
4.393939393939394478e+00,5.349560292927382079e+02,3.643662363191003806e+02,5.162703857421875000e+02,5.677588500976562500e+02
4.494949494949494806e+00,5.854028755930974057e+02,4.032835745312200970e+02,5.586892700195312500e+02,6.043519287109375000e+02
4.595959595959595134e+00,6.390676032816246561e+02,4.449344403395326708e+02,6.152509155273437500e+02,6.394821166992187500e+02
4.696969696969697239e+00,6.960787200751084356e+02,4.894374476033653423e+02,7.005284423828125000e+02,6.716728515625000000e+02
4.797979797979797567e+00,7.565672321391872401e+02,5.369137086308971902e+02,8.161295166015625000e+02,7.031573486328125000e+02
4.898989898989899672e+00,8.206666440883582254e+02,5.874868341791639068e+02,7.956965332031250000e+02,7.326503906250000000e+02
5.000000000000000000e+00,8.885129589859668613e+02,6.412829334540516584e+02,8.699690551757812500e+02,7.599113159179687500e+02
