x, true, terminal, branch, dgm
-3.000000000000000000e+00,-9.422223406686580649e-01,-9.899924966004454152e-01,-9.828131794929504395e-01,-1.478303968906402588e-01
-2.939393939393939448e+00,-9.202025486934006793e-01,-9.796273921267035778e-01,-9.629460573196411133e-01,-1.465895175933837891e-01
-2.878787878787878896e+00,-8.948038001809127673e-01,-9.656651248485589312e-01,-9.384626150131225586e-01,-1.450105756521224976e-01
-2.818181818181818343e+00,-8.661193585843827147e-01,-9.481569637984230692e-01,-9.101311564445495605e-01,-1.435169279575347900e-01
-2.757575757575757791e+00,-8.342545523248053874e-01,-9.271671984257428001e-01,-8.779435157775878906e-01,-1.422279030084609985e-01
-2.696969696969696795e+00,-7.993263880281361589e-01,-9.027729025280442077e-01,-8.419809341430664062e-01,-1.410766839981079102e-01
-2.636363636363636243e+00,-7.614631208804226725e-01,-8.750636512382280463e-01,-8.025227785110473633e-01,-1.401561796665191650e-01
-2.575757575757575690e+00,-7.208037836785541330e-01,-8.441411921073311841e-01,-7.588933706283569336e-01,-1.389175653457641602e-01
-2.515151515151515138e+00,-6.774976763059450402e-01,-8.101190714905293078e-01,-7.123311758041381836e-01,-1.378848850727081299e-01
-2.454545454545454586e+00,-6.317038175077799300e-01,-7.731222176082798159e-01,-6.641732454299926758e-01,-1.371530294418334961e-01
-2.393939393939394034e+00,-5.835903609788846147e-01,-7.332864818135917950e-01,-6.125200986862182617e-01,-1.360931098461151123e-01
-2.333333333333333037e+00,-5.333339779083332566e-01,-6.907581397498760989e-01,-5.594927668571472168e-01,-1.355827748775482178e-01
-2.272727272727272485e+00,-4.811192082480697518e-01,-6.456933542311115160e-01,-5.042849779129028320e-01,-1.346914470195770264e-01
-2.212121212121211933e+00,-4.271377830876609272e-01,-5.982576018166093634e-01,-4.475578665733337402e-01,-1.341410726308822632e-01
-2.151515151515151381e+00,-3.715879206234092846e-01,-5.486250651859839733e-01,-3.879068195819854736e-01,-1.337606608867645264e-01
-2.090909090909090828e+00,-3.146735983069986475e-01,-4.969779935455057585e-01,-3.234076797962188721e-01,-1.331766396760940552e-01
-2.030303030303030276e+00,-2.566038038463269721e-01,-4.435060334144070304e-01,-2.512652277946472168e-01,-1.328067034482955933e-01
-1.969696969696969724e+00,-1.975917678088243423e-01,-3.884055322484735728e-01,-1.816277056932449341e-01,-1.325257718563079834e-01
