x,true,terminal,branch
0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,3.167457878589630127e-03
6.346651825433925753e-02,-3.846855183085712976e-02,-6.342391965656450636e-02,-3.565972298383712769e-02
1.269330365086785151e-01,-7.678220438072705378e-02,-1.265924535737492640e-01,-7.444162666797637939e-02
1.903995547630177865e-01,-1.147866820933564069e-01,-1.892512443604102146e-01,-1.129395887255668640e-01
2.538660730173570301e-01,-1.523289543504399712e-01,-2.511479871810792242e-01,-1.522446572780609131e-01
3.173325912716962738e-01,-1.892578516719095605e-01,-3.120334456984871219e-01,-1.895653903484344482e-01
3.807991095260355729e-01,-2.254246744220758381e-01,-3.716624556603275731e-01,-2.259224355220794678e-01
4.442656277803748166e-01,-2.606837915705785824e-01,-4.297949120891716435e-01,-2.622657716274261475e-01
5.077321460347140603e-01,-2.948932270971464376e-01,-4.861967361004687072e-01,-2.972300946712493896e-01
5.711986642890533039e-01,-3.279152316789210042e-01,-5.406408174555975554e-01,-3.300342559814453125e-01
6.346651825433925476e-01,-3.596168373583623068e-01,-5.929079290546404035e-01,-3.628855645656585693e-01
6.981317007977317912e-01,-3.898703929582833516e-01,-6.427876096865392519e-01,-3.929483890533447266e-01
7.615982190520711459e-01,-4.185540780880873668e-01,-6.900790114821120369e-01,-4.216920435428619385e-01
8.250647373064103896e-01,-4.455523936714843036e-01,-7.345917086575333155e-01,-4.494596123695373535e-01
8.885312555607496332e-01,-4.707566270205071346e-01,-7.761464642917568213e-01,-4.741243422031402588e-01
9.519977738150888769e-01,-4.940652895831365576e-01,-8.145759520503357276e-01,-4.974155724048614502e-01
1.015464292069428121e+00,-5.153845256018800836e-01,-8.497254299495143881e-01,-5.188226103782653809e-01
1.078930810323767364e+00,-5.346284900377815674e-01,-8.814533634475820723e-01,-5.373623967170715332e-01
1.142397328578106608e+00,-5.517196942380950819e-01,-9.096319953545183301e-01,-5.546643137931823730e-01
1.205863846832445851e+00,-5.665893179557400794e-01,-9.341478602651066554e-01,-5.694696307182312012e-01
1.269330365086785095e+00,-5.791774864641464626e-01,-9.549022414440738737e-01,-5.812107324600219727e-01
