x,true,terminal,branch
-1.000000000000000000e+01,8.125797217138241990e-03,5.447249623566463583e-03,1.979088783264160156e-02
-9.797979797979797567e+00,9.944489314717586126e-03,6.666537016732476673e-03,2.154052257537841797e-03
-9.595959595959595134e+00,1.217011182867899777e-02,8.158688425728755078e-03,1.098316907882690430e-02
-9.393939393939394478e+00,1.489365332560055322e-02,9.984740298612848619e-03,1.305660605430603027e-02
-9.191919191919192045e+00,1.822641647321354696e-02,1.221936841455217859e-02,1.425421237945556641e-02
-8.989898989898989612e+00,2.230453808033239227e-02,1.495392888705460166e-02,1.901787519454956055e-02
-8.787878787878787179e+00,2.729450726486071233e-02,1.830017376242132343e-02,2.803683280944824219e-02
-8.585858585858586522e+00,3.339989835868628631e-02,2.239478915483594790e-02,3.514713048934936523e-02
-8.383838383838384090e+00,4.086958025808762329e-02,2.740493544885858057e-02,4.592889547348022461e-02
-8.181818181818181657e+00,5.000771744883714121e-02,3.353500700478662111e-02,6.114161014556884766e-02
-7.979797979797979224e+00,6.118594093655360666e-02,4.103487405970618340e-02,7.973814010620117188e-02
-7.777777777777777679e+00,7.485814069245044777e-02,5.020992321715134210e-02,9.371358156204223633e-02
-7.575757575757576134e+00,9.157841548549683353e-02,6.143327611932036803e-02,1.135620474815368652e-01
-7.373737373737373701e+00,1.120228108529310873e-01,7.516063948988183085e-02,1.225793957710266113e-01
-7.171717171717171269e+00,1.370155798527470381e-01,9.194832421453646987e-02,1.480411291122436523e-01
-6.969696969696969724e+00,1.675608102859733606e-01,1.124750662092814935e-01,1.799069344997406006e-01
-6.767676767676768179e+00,2.048803688009410706e-01,1.375683858682243965e-01,2.017154991626739502e-01
-6.565656565656565746e+00,2.504592035765025315e-01,1.682363319686626113e-01,2.519451379776000977e-01
-6.363636363636363313e+00,3.060991013724532195e-01,2.057055624786485737e-01,2.795694470405578613e-01
-6.161616161616161769e+00,3.739819769413621486e-01,2.514668055010478298e-01,3.412319421768188477e-01
-5.959595959595959336e+00,4.567436294124771479e-01,3.073287966339108834e-01,4.212105870246887207e-01
-5.757575757575757791e+00,5.575585501970916624e-01,3.754817693228886810e-01,5.241125226020812988e-01
-5.555555555555555358e+00,6.802356906207105425e-01,4.585714281673212156e-01,6.435593962669372559e-01
-5.353535353535353813e+00,8.293239226165720623e-01,5.597839798766575115e-01,8.067055940628051758e-01
-5.151515151515151381e+00,1.010224010950992124e+00,6.829421121495027336e-01,9.933425784111022949e-01
-4.949494949494949836e+00,1.229300933016032715e+00,8.326106237033155111e-01,1.230286240577697754e+00
-4.747474747474747403e+00,1.493985906715060707e+00,1.014208475990464819e+00,1.513569831848144531e+00
-4.545454545454545858e+00,1.812850999464698631e+00,1.234121029344628084e+00,1.851547360420227051e+00
-4.343434343434343425e+00,2.195630121484567709e+00,1.499801715912413513e+00,2.230679512023925781e+00
-4.141414141414141881e+00,2.653148048439270212e+00,1.819845868207060846e+00,2.706572055816650391e+00
-3.939393939393939448e+00,3.197103678088650369e+00,2.204010294942293058e+00,3.227950096130371094e+00
-3.737373737373737903e+00,3.839635580931915371e+00,2.663139972312871251e+00,3.835885047912597656e+00
-3.535353535353535470e+00,4.592579174498771621e+00,3.208947715101382769e+00,4.552543640136718750e+00
-3.333333333333333037e+00,5.466310340510133869e+00,3.853574508044202318e+00,5.373617649078369141e+00
-3.131313131313131493e+00,6.468068974148632577e+00,4.608839473589394942e+00,6.307411193847656250e+00
-2.929292929292929060e+00,7.599682329917630597e+00,5.485074101065855245e+00,7.396490573883056641e+00
-2.727272727272727515e+00,8.854682532013328000e+00,6.489434423735271906e+00,8.604114532470703125e+00
-2.525252525252525082e+00,1.021495883400936577e+01,7.623611949873337679e+00,9.980371475219726562e+00
-2.323232323232323537e+00,1.164732107251062132e+01,8.880939859702600359e+00,1.147065448760986328e+01
-2.121212121212121104e+00,1.310067062068366361e+01,1.024303885621034560e+01,1.297123336791992188e+01
-1.919191919191918672e+00,1.450482292024115516e+01,1.167638477211425396e+01,1.442813205718994141e+01
-1.717171717171718015e+00,1.577226806816579341e+01,1.312950122321807278e+01,1.566655731201171875e+01
-1.515151515151515582e+00,1.680407989151213854e+01,1.453182785875292993e+01,1.667194366455078125e+01
-1.313131313131313149e+00,1.750055490893011978e+01,1.579555309758756998e+01,1.730835533142089844e+01
-1.111111111111110716e+00,1.777586940132056270e+01,1.682161532179366503e+01,1.754528617858886719e+01
-9.090909090909100598e-01,1.757429518915768440e+01,1.751043453260042781e+01,1.735898017883300781e+01
-7.070707070707076269e-01,1.688395821666883023e+01,1.777663077103909472e+01,1.675943374633789062e+01
-5.050505050505051940e-01,1.574367979508957838e+01,1.756523405133409454e+01,1.585255813598632812e+01
-3.030303030303027612e-01,1.423979575018823773e+01,1.686534701002479864e+01,1.460532951354980469e+01
-1.010101010101003283e-01,1.249284735726901374e+01,1.571680837654997909e+01,1.310884857177734375e+01
1.010101010101003283e-01,1.063748720651585522e+01,1.420679875935824832e+01,1.141881847381591797e+01
3.030303030303027612e-01,8.801185356415141214e+00,1.245635259062969169e+01,9.610684394836425781e+00
5.050505050505051940e-01,7.087274162395920563e+00,1.060018130744924747e+01,7.828030109405517578e+00
7.070707070707076269e-01,5.565728209829799766e+00,8.765416270631199325e+00,6.071734905242919922e+00
9.090909090909082835e-01,4.272096113615903690e+00,7.054784598954226382e+00,4.516003608703613281e+00
1.111111111111110716e+00,3.212607724682735810e+00,5.537557807536502175e+00,3.207675457000732422e+00
1.313131313131313149e+00,2.372448027238145407e+00,4.248632378125478226e+00,2.185250759124755859e+00
1.515151515151515582e+00,1.724442190997582891e+00,3.193730768890430394e+00,1.429905891418457031e+00
1.717171717171716239e+00,1.236354438807002687e+00,2.357708052253048692e+00,9.059443473815917969e-01
1.919191919191918672e+00,8.760540101007485703e-01,1.713223163651169223e+00,5.472984910011291504e-01
2.121212121212121104e+00,6.145767888904298815e-01,1.227999248403522259e+00,3.125922083854675293e-01
2.323232323232323537e+00,4.275166738314162274e-01,8.699453096572984379e-01,1.679670661687850952e-01
2.525252525252524194e+00,2.952899455493636083e-01,6.101794048823325767e-01,6.912089884281158447e-02
2.727272727272726627e+00,2.027535048003219487e-01,4.243921597427515735e-01,1.631607115268707275e-02
2.929292929292929060e+00,1.385298162135448763e-01,2.930938758491521412e-01,-1.930326223373413086e-02
3.131313131313131493e+00,9.426232981334337069e-02,2.012239027067188601e-01,-2.871152758598327637e-02
3.333333333333333925e+00,6.392341267377332770e-02,1.374723913631115124e-01,-3.733003139495849609e-02
3.535353535353534582e+00,4.322801907085604967e-02,9.353585253954399548e-02,-3.195720911026000977e-02
3.737373737373737015e+00,2.916541713268827607e-02,6.342685859940111470e-02,-2.825483679771423340e-02
3.939393939393939448e+00,1.964020785425901749e-02,4.289005161238179653e-02,-2.783785760402679443e-02
