x,true,terminal,branch
0.000000000000000000e+00,4.965122214666176648e-01,5.000000000000001110e-01,4.878816902637481689e-01
6.346651825433925753e-02,4.955125817291419210e-01,4.989933382359422742e-01,4.868691861629486084e-01
1.269330365086785151e-01,4.925176877131210995e-01,4.959774064153977258e-01,4.849646687507629395e-01
1.903995547630177865e-01,4.875395987997283576e-01,4.909643486313534089e-01,4.806913137435913086e-01
2.538660730173570301e-01,4.805983599960325647e-01,4.839743506981781795e-01,4.751050472259521484e-01
3.173325912716962738e-01,4.717219212208292323e-01,4.750355588704727738e-01,4.671610891819000244e-01
3.807991095260355729e-01,4.609460247601822602e-01,4.641839665080363386e-01,4.574713706970214844e-01
4.442656277803748166e-01,4.483140613458532209e-01,4.514632691433106415e-01,4.453263580799102783e-01
5.077321460347140603e-01,4.338768954361388874e-01,4.369246885348925247e-01,4.316185116767883301e-01
5.711986642890533039e-01,4.176926604026499068e-01,4.206267664155906583e-01,4.156499803066253662e-01
6.346651825433925476e-01,3.998265244477411939e-01,4.026351287655293709e-01,3.976116478443145752e-01
6.981317007977317912e-01,3.803504281951617938e-01,3.830222215594890622e-01,3.775366842746734619e-01
7.615982190520711459e-01,3.593427950105540503e-01,3.618670190525350994e-01,3.561576604843139648e-01
8.250647373064103896e-01,3.368882152182392509e-01,3.392547057785661457e-01,3.318382501602172852e-01
8.885312555607496332e-01,3.130771054858368374e-01,3.152763335422613111e-01,3.073049485683441162e-01
9.519977738150888769e-01,2.880053447482565643e-01,2.900284547855991324e-01,2.803476154804229736e-01
1.015464292069428121e+00,2.617738881370668125e-01,2.636127338052512425e-01,2.530600130558013916e-01
1.078930810323767364e+00,2.344883604698117796e-01,2.361355373863414098e-01,2.245186120271682739e-01
1.142397328578106608e+00,2.062586309361505166e-01,2.077075065009432731e-01,1.950888186693191528e-01
1.205863846832445851e+00,1.771983706934079084e-01,1.784431107959359997e-01,1.656939238309860229e-01
1.269330365086785095e+00,1.474245951529437049e-01,1.484601876641375162e-01,1.357916891574859619e-01
1.332796883341124339e+00,1.170571928003908135e-01,1.178794677547136960e-01,1.059200316667556763e-01
1.396263401595463582e+00,8.621844244703756599e-02,8.682408883346526274e-02,7.536786794662475586e-02
1.459729919849802826e+00,5.503252085621210959e-02,5.541909995050561116e-02,4.604532569646835327e-02
1.523196438104142292e+00,2.362500272728389542e-02,2.379095791187115297e-02,1.588626019656658173e-02
1.586662956358481535e+00,-7.877644949329487903e-03,-7.932981917403953559e-03,-1.420211046934127808e-02
1.650129474612820779e+00,-3.934857213009761850e-02,-3.962497842839420720e-02,-4.344453290104866028e-02
1.713595992867160023e+00,-7.066105649873119510e-02,-7.115741913664255791e-02,-7.283301651477813721e-02
1.777062511121499266e+00,-1.016890137322239568e-01,-1.024033340325953140e-01,-1.024522185325622559e-01
1.840529029375838510e+00,-1.323075051979208105e-01,-1.332369068450174610e-01,-1.310569345951080322e-01
1.903995547630177754e+00,-1.623932410372951607e-01,-1.635339816587107753e-01,-1.601044684648513794e-01
1.967462065884516997e+00,-1.918250766106948391e-01,-1.931725628465642830e-01,-1.883986890316009521e-01
2.030928584138856241e+00,-2.204845003040487306e-01,-2.220333063028870069e-01,-2.156775593757629395e-01
2.094395102393195707e+00,-2.482561107333088324e-01,-2.500000000000000555e-01,-2.426265031099319458e-01
2.157861620647534728e+00,-2.750280814250929962e-01,-2.769600319330550731e-01,-2.687908411026000977e-01
2.221328138901874194e+00,-3.006926111024261217e-01,-3.028048435688333595e-01,-2.938572764396667480e-01
2.284794657156213216e+00,-3.251463577624330026e-01,-3.274303669726424393e-01,-3.184393048286437988e-01
