runtime,l1_error,l2_error,rel_error
9.229256153106689453e+01,3.608479914475845683e-03,2.058158316254972197e-05,6.543151132030319492e-03
8.898390078544616699e+01,3.710562149409851393e-03,2.119333219770852170e-05,6.768063668349743114e-03
9.002509164810180664e+01,3.448540611553140966e-03,1.966882827378832341e-05,6.806411630619094329e-03
8.874779582023620605e+01,3.272229272756413572e-03,1.751275195370204457e-05,6.124397757302045033e-03
8.733081698417663574e+01,3.662646411617794407e-03,2.157368565372378135e-05,7.080139043618818677e-03
8.700806522369384766e+01,3.477898632441283472e-03,1.963406766351403200e-05,7.366403034442628971e-03
8.641199731826782227e+01,3.418039060220068835e-03,2.046206475049438303e-05,7.034263157721843199e-03
8.645244359970092773e+01,3.601043710552307917e-03,2.274746731082418646e-05,5.815840117694326579e-03
8.944849538803100586e+01,3.165950706180168869e-03,1.459536725617940991e-05,7.335076970002688684e-03
9.125972080230712891e+01,3.748391916161462455e-03,2.099166962252062312e-05,7.537065160984504283e-03
