runtime,l1_error,l2_error,rel_error
5.018786382675170898e+01,1.891779353841013247e-03,9.207483407531709676e-06,4.400796359033004937e-03
5.184327960014343262e+01,1.759021707371363676e-03,9.187823679308268712e-06,4.276256386042383804e-03
4.953761625289916992e+01,1.884695818900202239e-03,1.019626931846514135e-05,4.507520095145520905e-03
5.137156939506530762e+01,1.654332215521250263e-03,5.627453956520737393e-06,3.877016160577366564e-03
5.092443323135375977e+01,1.651790993486230118e-03,5.229444992383225668e-06,4.783192669760671749e-03
4.941581988334655762e+01,1.972174871638468149e-03,9.864121935435509381e-06,4.703254535200615191e-03
5.110519838333129883e+01,2.064962497137310966e-03,1.055991660308835876e-05,5.941484102342314659e-03
5.106620979309082031e+01,1.677210293253993297e-03,5.498901892304701118e-06,4.292305504838318450e-03
5.071444916725158691e+01,1.427843720339888687e-03,3.492478636312933383e-06,4.364412137895088382e-03
4.892464184761047363e+01,1.301446634890872020e-03,3.491356809259419579e-06,3.403199900169081617e-03
