runtime,l1_error,l2_error,rel_error
5.010088467597961426e+01,2.176190373487195320e-03,9.420224426032887237e-06,1.345808940540561133e-02
4.798529791831970215e+01,3.527260160949327161e-03,2.927501013051641754e-05,1.516819288381368071e-02
4.810283732414245605e+01,4.066555794810345487e-03,2.158141451194962513e-05,2.053122838186756394e-02
4.730059218406677246e+01,3.215482259333321720e-03,1.581782011649104629e-05,1.358949893537239086e-02
4.849021553993225098e+01,3.587223719348264610e-03,1.806946748849434640e-05,2.214717671973951557e-02
4.861498188972473145e+01,4.457471517313697264e-03,3.568037089466704720e-05,2.691217478934159260e-02
4.958363628387451172e+01,2.103859460055261706e-03,8.570135136587376574e-06,6.787040564126106332e-03
5.029678583145141602e+01,2.635754399664900702e-03,1.084775498905652232e-05,1.234822977777632648e-02
4.815146851539611816e+01,3.934588371019240652e-03,2.812884066020807073e-05,2.657142327155741918e-02
4.712301063537597656e+01,3.292635635368442674e-03,1.683712343250254252e-05,1.151813403820821195e-02
