runtime,l1_error,l2_error,rel_error
6.953559517860412598e+01,1.474654822469057686e-02,3.240540055141617705e-04,4.885709034090496283e-02
4.276416730880737305e+01,2.876531094124923707e-02,2.905117173729858653e-03,7.659942243600595391e-02
4.088405466079711914e+01,3.481923837629656571e-02,2.501771567719475019e-03,2.033643684046580191e-01
5.047582530975341797e+01,1.776104521111020532e-02,7.923454564162672655e-04,1.097288590737748454e-01
8.554307699203491211e+01,1.706625571225381735e-02,5.692760977945879276e-04,7.128251460078327550e-02
3.833549690246582031e+01,1.519246469631423124e-02,4.447657739821741564e-04,7.651298276664662834e-02
5.910404706001281738e+01,2.493479135130683214e-02,9.294159882844997599e-04,5.119774541382526162e-02
4.394640707969665527e+01,1.108943557620337313e-02,1.850912193069058267e-04,2.478431406605771659e-02
4.395790576934814453e+01,2.032489729307583939e-02,8.077730228990312152e-04,2.122720104767037430e-01
4.175988173484802246e+01,3.080027305426767670e-02,2.163652405007392057e-03,1.817234007610294688e-01
