runtime,l1_error,l2_error,rel_error
2.803300881385803223e+01,5.599558543898097707e-04,4.924050529137989936e-07,0.000000000000000000e+00
2.421841335296630859e+01,5.987902024093497838e-04,5.932028941615050499e-07,0.000000000000000000e+00
2.493142628669738770e+01,6.621657440021438967e-04,7.261197614529328952e-07,0.000000000000000000e+00
2.494290804862976074e+01,6.614494136094256150e-04,6.077554266590490344e-07,0.000000000000000000e+00
2.467852759361267090e+01,6.969961892676529479e-04,7.295843894680279343e-07,0.000000000000000000e+00
2.478955507278442383e+01,7.360318312218705776e-04,9.408445293356271874e-07,0.000000000000000000e+00
2.503153753280639648e+01,6.975288367561841918e-04,9.169186298997918608e-07,0.000000000000000000e+00
2.406556320190429688e+01,1.040653437438083910e-03,1.810549318641742056e-06,0.000000000000000000e+00
2.491152787208557129e+01,4.869883896614439467e-04,3.780227356185025725e-07,0.000000000000000000e+00
2.426040840148925781e+01,5.561285022939399742e-04,4.554122477673977927e-07,0.000000000000000000e+00
