runtime,l1_error,l2_error,rel_error
5.137381553649902344e+01,1.013239552351784083e-03,2.262843159267711251e-06,2.228056821222632877e-01
5.143945264816284180e+01,8.296859231190839221e-04,1.389329003429611561e-06,1.203659371795271910e-01
4.775690054893493652e+01,1.506686653023090079e-02,2.466625819330093530e-04,1.624656924312516626e+00
4.921014451980590820e+01,2.436149894663161564e-03,7.400572125637612865e-06,2.572488641336057591e-01
4.932750272750854492e+01,9.666745214344113230e-04,1.481696365906898042e-06,1.356602171889302322e-01
4.842020940780639648e+01,3.862276476916365439e-04,2.460204416306016168e-07,4.780441421473384522e-02
4.825908160209655762e+01,1.084197060661316533e-02,1.352336204742702816e-04,1.039558607745595387e+00
5.150834918022155762e+01,5.298982708493776492e-04,4.419567198784001965e-07,4.360100602060837383e-02
4.913406991958618164e+01,2.234563861734767919e-03,7.285244393259391697e-06,3.347093916435910921e-01
5.255532622337341309e+01,5.174686414048618264e-04,4.758239488713694839e-07,8.407622976220620326e-02
