runtime,l1_error,l2_error,rel_error
1.050574069023132324e+02,1.269182143347641900e-01,2.124541038493738335e-02,4.564526628290006549e-01
1.069145586490631104e+02,6.078652514095438802e-02,4.826645872418195045e-03,2.568010942818044207e-01
1.082681372165679932e+02,1.402545145332033394e-01,2.558314717525600468e-02,4.510007866748230732e-01
1.066335451602935791e+02,8.333381409532894524e-02,9.663651901004738365e-03,3.220115692640870275e-01
1.101872162818908691e+02,5.618397346964688899e-02,4.603183475312518785e-03,2.149939632252107491e-01
1.031139502525329590e+02,7.237488196464972323e-02,7.209831184214595713e-03,2.883300265094436710e-01
1.093757150173187256e+02,6.187133380063151999e-02,5.650060187847238784e-03,2.597869943397897452e-01
1.084749476909637451e+02,4.029368263320251553e-02,2.785425230921983585e-03,1.245077649991574581e-01
1.086298246383666992e+02,7.407793436140049093e-02,7.276716666062729190e-03,2.855498588431266693e-01
1.059757134914398193e+02,4.020627294901144011e-02,2.688591756864755922e-03,1.083987229823944742e-01
