x, true, terminal, branch, dgm
-3.000000000000000000e+00,-9.422223406686580649e-01,-9.899924966004454152e-01,-9.408386945724487305e-01,-9.032022356986999512e-01
-2.939393939393939448e+00,-9.202025486934006793e-01,-9.796273921267035778e-01,-9.196997880935668945e-01,-8.589274287223815918e-01
-2.878787878787878896e+00,-8.948038001809127673e-01,-9.656651248485589312e-01,-8.949364423751831055e-01,-8.143972158432006836e-01
-2.818181818181818343e+00,-8.661193585843827147e-01,-9.481569637984230692e-01,-8.662847280502319336e-01,-7.692149877548217773e-01
-2.757575757575757791e+00,-8.342545523248053874e-01,-9.271671984257428001e-01,-8.341538310050964355e-01,-7.235720753669738770e-01
-2.696969696969696795e+00,-7.993263880281361589e-01,-9.027729025280442077e-01,-7.994564771652221680e-01,-6.779282093048095703e-01
-2.636363636363636243e+00,-7.614631208804226725e-01,-8.750636512382280463e-01,-7.608870267868041992e-01,-6.319036483764648438e-01
-2.575757575757575690e+00,-7.208037836785541330e-01,-8.441411921073311841e-01,-7.190383076667785645e-01,-5.852527618408203125e-01
-2.515151515151515138e+00,-6.774976763059450402e-01,-8.101190714905293078e-01,-6.746846437454223633e-01,-5.388907194137573242e-01
-2.454545454545454586e+00,-6.317038175077799300e-01,-7.731222176082798159e-01,-6.281849741935729980e-01,-4.919438958168029785e-01
-2.393939393939394034e+00,-5.835903609788846147e-01,-7.332864818135917950e-01,-5.793504118919372559e-01,-4.446780681610107422e-01
-2.333333333333333037e+00,-5.333339779083332566e-01,-6.907581397498760989e-01,-5.282856822013854980e-01,-3.978789746761322021e-01
-2.272727272727272485e+00,-4.811192082480697518e-01,-6.456933542311115160e-01,-4.757204949855804443e-01,-3.508391082286834717e-01
-2.212121212121211933e+00,-4.271377830876609272e-01,-5.982576018166093634e-01,-4.220594763755798340e-01,-3.032314181327819824e-01
-2.151515151515151381e+00,-3.715879206234092846e-01,-5.486250651859839733e-01,-3.661416471004486084e-01,-2.560343742370605469e-01
-2.090909090909090828e+00,-3.146735983069986475e-01,-4.969779935455057585e-01,-3.095868527889251709e-01,-2.090194523334503174e-01
-2.030303030303030276e+00,-2.566038038463269721e-01,-4.435060334144070304e-01,-2.518607974052429199e-01,-1.620045006275177002e-01
-1.969696969696969724e+00,-1.975917678088243423e-01,-3.884055322484735728e-01,-1.938103288412094116e-01,-1.141218394041061401e-01
-1.909090909090909172e+00,-1.378541806451174245e-01,-3.318788174579952455e-01,-1.344484090805053711e-01,-6.744566559791564941e-02
-1.848484848484848397e+00,-7.761039700810476449e-02,-2.741334534675005652e-01,-7.462666928768157959e-02,-2.113961242139339447e-02
-1.787878787878787845e+00,-1.708163028916112602e-02,-2.153814795453309894e-01,-1.445456594228744507e-02,2.521254681050777435e-02
-1.727272727272727293e+00,4.350985967089292250e-02,-1.558386312017186470e-01,4.552851989865303040e-02,7.110544294118881226e-02
-1.666666666666666519e+00,1.039415827133509523e-01,-9.572354801437543692e-02,1.060760468244552612e-01,1.163835898041725159e-01
-1.606060606060605966e+00,1.639916353389010706e-01,-3.525697079043223214e-02,1.659744232892990112e-01,1.612391620874404907e-01
-1.545454545454545414e+00,2.234395155307122016e-01,2.533906898727637108e-02,2.256975471973419189e-01,2.054601162672042847e-01
-1.484848484848484862e+00,2.820669324313163084e-01,8.584206445324789325e-02,2.844583392143249512e-01,2.498351037502288818e-01
-1.424242424242424310e+00,3.396586079001795433e-01,1.460298503979400864e-01,3.421801626682281494e-01,2.930211424827575684e-01
-1.363636363636363535e+00,3.960030670086661098e-01,2.056814190518485019e-01,3.986118137836456299e-01,3.351491987705230713e-01
