x, true, terminal, branch, dgm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.900169442407786846e-04,-6.655403878539800644e-03
1.010101010101010187e-02,1.317968846788716277e-03,3.361280191224955485e-03,1.973661361262202263e-03,-4.595982376486063004e-03
2.020202020202020374e-02,2.628490928030628726e-03,6.688279993673764030e-03,2.997806295752525330e-03,-2.621933817863464355e-03
3.030303030303030387e-02,3.924164994691056035e-03,9.947014549882397111e-03,4.134213551878929138e-03,-7.493401062674820423e-04
4.040404040404040747e-02,5.197681088684463421e-03,1.310410016170135937e-02,5.770527757704257965e-03,1.030527288094162941e-03
5.050505050505051108e-02,6.441866808842069796e-03,1.612707930415725743e-02,6.821578834205865860e-03,2.685936633497476578e-03
6.060606060606060774e-02,7.649734253755839306e-03,1.898477268400501974e-02,8.134571835398674011e-03,4.238286055624485016e-03
7.070707070707071829e-02,8.814527755447287144e-03,2.164766352751943540e-02,9.432953782379627228e-03,5.660257302224636078e-03
8.080808080808081495e-02,9.929772424590636859e-03,2.408831595530513264e-02,1.008946634829044342e-02,6.980200298130512238e-03
9.090909090909091161e-02,1.098932341492937954e-02,2.628182515282205534e-02,1.122607104480266571e-02,8.198102004826068878e-03
1.010101010101010222e-01,1.198741568428842927e-02,2.820629217414125089e-02,1.182493567466735840e-02,9.374246001243591309e-03
1.111111111111111188e-01,1.291871388584523404e-02,2.984331082565223545e-02,1.320458389818668365e-02,1.037163287401199341e-02
1.212121212121212155e-01,1.377836187077054707e-02,3.117844849754018710e-02,1.387847028672695160e-02,1.129038818180561066e-02
1.313131313131313260e-01,1.456203112779501548e-02,3.220169751718323509e-02,1.479437667876482010e-02,1.210160925984382629e-02
1.414141414141414366e-01,1.526596733364556958e-02,3.290786919485233497e-02,1.533904671669006348e-02,1.284421235322952271e-02
1.515151515151515194e-01,1.588703404861295174e-02,3.329689991185357661e-02,1.578677631914615631e-02,1.342063583433628082e-02
1.616161616161616299e-01,1.642275247257551224e-02,3.337403806839234904e-02,1.633004471659660339e-02,1.403563749045133591e-02
1.717171717171717404e-01,1.687133608791327455e-02,3.314988306477580776e-02,1.678000949323177338e-02,1.437632460147142410e-02
1.818181818181818232e-01,1.723171896618536092e-02,3.264025310205648928e-02,1.721546426415443420e-02,1.486159302294254303e-02
1.919191919191919338e-01,1.750357651386071078e-02,3.186586745943065235e-02,1.776504144072532654e-02,1.516734808683395386e-02
2.020202020202020443e-01,1.768733748606905742e-02,3.085184057953223660e-02,1.773642562329769135e-02,1.531165558844804764e-02
2.121212121212121271e-01,1.778418621141205497e-02,2.962699882842346685e-02,1.775279082357883453e-02,1.548280380666255951e-02
2.222222222222222376e-01,1.779605414757056900e-02,2.822304483582275050e-02,1.807306706905364990e-02,1.552593894302845001e-02
2.323232323232323482e-01,1.772560012542075819e-02,2.667360725095939758e-02,1.792741753160953522e-02,1.548780780285596848e-02
2.424242424242424310e-01,1.757617893324577366e-02,2.501322394783739994e-02,1.748526096343994141e-02,1.550394762307405472e-02
2.525252525252525415e-01,1.735179823279374423e-02,2.327631282285155465e-02,1.695805788040161133e-02,1.536086760461330414e-02
2.626262626262626521e-01,1.705706417171270334e-02,2.149618550242125142e-02,1.671855151653289795e-02,1.520620472729206085e-02
2.727272727272727626e-01,1.669711644510737600e-02,1.970415534673688671e-02,1.617785356938838959e-02,1.500966399908065796e-02
2.828282828282828731e-01,1.627755394286085899e-02,1.792878263274919406e-02,1.554125826805830002e-02,1.471294742077589035e-02
2.929292929292929282e-01,1.580435247791261988e-02,1.619528786421996908e-02,1.484410185366868973e-02,1.446576230227947235e-02
3.030303030303030387e-01,1.528377640308595589e-02,1.452515031962210018e-02,1.428191550076007843e-02,1.406316272914409637e-02
3.131313131313131493e-01,1.472228617137934931e-02,1.293589486184989340e-02,1.339660864323377609e-02,1.379952766001224518e-02
3.232323232323232598e-01,1.412644406136742518e-02,1.144105720447839356e-02,1.283445954322814941e-02,1.342597324401140213e-02
3.333333333333333703e-01,1.350282036474190206e-02,1.005030741352277469e-02,1.239667646586894989e-02,1.296089123934507370e-02
3.434343434343434809e-01,1.285790231200282033e-02,8.769704110193572710e-03,1.201544515788555145e-02,1.251865923404693604e-02
3.535353535353535914e-01,1.219800789597772460e-02,7.602047834044843404e-03,1.139287184923887253e-02,1.218019239604473114e-02
3.636363636363636465e-01,1.152920654834637022e-02,6.547301113497943845e-03,1.084775291383266449e-02,1.162106916308403015e-02
3.737373737373737570e-01,1.085724834424529189e-02,5.603044456824030593e-03,1.017597876489162445e-02,1.116977632045745850e-02
3.838383838383838675e-01,1.018750307120976605e-02,4.764941040264245899e-03,9.385061450302600861e-03,1.075082458555698395e-02
3.939393939393939781e-01,9.524910120963273399e-03,4.027187609991962972e-03,8.625970222055912018e-03,1.025200821459293365e-02
4.040404040404040886e-01,8.873939766960197567e-03,3.382934367558553673e-03,7.900731638073921204e-03,9.747994132339954376e-03
4.141414141414141992e-01,8.238565997879880934e-03,2.824661830235981105e-03,7.374729029834270477e-03,9.312947280704975128e-03
4.242424242424242542e-01,7.622250706439399719e-03,2.344507451183836834e-03,6.971911992877721786e-03,8.726472966372966766e-03
4.343434343434343647e-01,7.027938699971299739e-03,1.934538899627704766e-03,6.612768862396478653e-03,8.232025429606437683e-03
4.444444444444444753e-01,6.458062716474083712e-03,1.586974217169530082e-03,6.255239248275756836e-03,7.851934060454368591e-03
4.545454545454545858e-01,5.914557405387608005e-03,1.294351563225991462e-03,5.522212944924831390e-03,7.220157887786626816e-03
4.646464646464646964e-01,5.398881070068336022e-03,1.049652992072617076e-03,4.740166943520307541e-03,6.809345446527004242e-03
4.747474747474748069e-01,4.912043868830211386e-03,8.463877615799993539e-04,4.270364996045827866e-03,6.340955384075641632e-03
4.848484848484848619e-01,4.454641130114719849e-03,6.786411762631949134e-04,4.227631725370883942e-03,5.913057830184698105e-03
4.949494949494949725e-01,4.026890448862654494e-03,5.410950360362299988e-04,3.930606413632631302e-03,5.487558431923389435e-03
5.050505050505050830e-01,3.628671287640819129e-03,4.290255116545132791e-04,3.019888419657945633e-03,5.028332117944955826e-03
5.151515151515152491e-01,3.259565898630177507e-03,3.382837994991821223e-04,2.431811764836311340e-03,4.595639649778604507e-03
5.252525252525253041e-01,2.918900501963592100e-03,2.652643069776888470e-04,2.742715645581483841e-03,4.201344214379787445e-03
5.353535353535353591e-01,2.605785793121088122e-03,2.068644532520732334e-04,2.838807180523872375e-03,3.840850200504064560e-03
5.454545454545455252e-01,2.319155998878050413e-03,1.604394900701919605e-04,2.547650132328271866e-03,3.393142018467187881e-03
5.555555555555555802e-01,2.057805850424569531e-03,1.237550917190195830e-04,2.038883743807673454e-03,3.000871744006872177e-03
5.656565656565657463e-01,1.820424987724873636e-03,9.493985701392707618e-05,1.521213096566498280e-03,2.681148936972022057e-03
5.757575757575758013e-01,1.605629446250158481e-03,7.243932540181413887e-05,1.199609483592212200e-03,2.348011126741766930e-03
5.858585858585858563e-01,1.411990002446746918e-03,5.497264155464221029e-05,1.106070470996201038e-03,2.031441312283277512e-03
5.959595959595960224e-01,1.238057265417457850e-03,4.149261025141665532e-05,1.206747139804065228e-03,1.674656057730317116e-03
6.060606060606060774e-01,1.082383498047154646e-03,3.114956361316945056e-05,1.157781225629150867e-03,1.462145359255373478e-03
6.161616161616162435e-01,9.435412308080096382e-04,2.325921066930543803e-05,1.013134140521287918e-03,1.194751472212374210e-03
6.262626262626262985e-01,8.201387960386997879e-04,1.727444777120073062e-05,1.093274098820984364e-03,8.861249079927802086e-04
6.363636363636364646e-01,7.108329604284892344e-04,1.276096954728113198e-05,8.516122470609843731e-04,6.506854551844298840e-04
6.464646464646465196e-01,6.143388699440529644e-04,9.376425636131047807e-06,8.101542480289936066e-04,4.742341116070747375e-04
6.565656565656565746e-01,5.294375459392158248e-04,6.852810260961948433e-06,5.399432848207652569e-04,2.832429599948227406e-04
6.666666666666667407e-01,4.549811852335908084e-04,4.981742281348056474e-06,4.314159159548580647e-04,9.296182543039321899e-05
6.767676767676767957e-01,3.898965221157176669e-04,3.602285899110927433e-06,3.968839591834694147e-04,-3.502611070871353149e-05
6.868686868686869618e-01,3.331865080652566592e-04,2.590970809160981301e-06,1.245525636477395892e-04,-3.571441338863223791e-04
6.969696969696970168e-01,2.839305569573923700e-04,1.853690301684163127e-06,2.280448534293100238e-04,-4.086731059942394495e-04
7.070707070707071829e-01,2.412835909532407290e-04,1.319182575351447319e-06,5.610110383713617921e-05,-5.521142738871276379e-04
7.171717171717172379e-01,2.044741063968473949e-04,9.338310968769529006e-07,-4.656640885514207184e-05,-6.823713192716240883e-04
7.272727272727272929e-01,1.728014608883724032e-04,6.575517875376858003e-07,3.224764950573444366e-04,-7.276410469785332680e-04
7.373737373737374590e-01,1.456325631909943059e-04,4.605663411332192930e-07,1.413707650499418378e-04,-8.188659558072686195e-04
7.474747474747475140e-01,1.223981275169279685e-04,3.208908446062849031e-07,2.432403125567361712e-04,-8.492784691043198109e-04
7.575757575757576801e-01,1.025886336498711406e-04,2.223962975571016365e-07,1.453739532735198736e-04,-9.829590562731027603e-04
7.676767676767677351e-01,8.575011479482454939e-05,1.533221795416656738e-07,2.656710275914520025e-04,-9.312162292189896107e-04
7.777777777777777901e-01,7.147987638544313631e-05,1.051457310645871863e-07,-1.152719341916963458e-04,-9.683246025815606117e-04
7.878787878787879562e-01,5.942223160700470106e-05,7.172812514790544782e-08,3.673930768854916096e-04,-9.538357844576239586e-04
7.979797979797980112e-01,4.926432330517767491e-05,4.867437194403634367e-08,-1.351687096757814288e-04,-1.039188588038086891e-03
8.080808080808081773e-01,4.073208736777092498e-05,3.285686129511621131e-08,-6.608544208575040102e-05,-9.642025688663125038e-04
8.181818181818182323e-01,3.358639964654779546e-05,2.206319297596135624e-08,1.706932671368122101e-04,-9.340522810816764832e-04
8.282828282828283983e-01,2.761943703558295262e-05,1.473767212254545516e-08,9.046914055943489075e-05,-8.992070215754210949e-04
8.383838383838384534e-01,2.265127340700067685e-05,9.792853557050158840e-09,1.872298307716846466e-04,-8.906027069315314293e-04
8.484848484848485084e-01,1.852672265780029825e-05,6.473080687703136696e-09,-8.774278830969706178e-05,-7.651595515199005604e-04
8.585858585858586745e-01,1.511243405271067652e-05,4.256333647961421496e-09,-3.727553485077805817e-05,-6.807403406128287315e-04
8.686868686868687295e-01,1.229423925086952743e-05,2.784098725462120516e-09,1.552064932184293866e-04,-4.659538972191512585e-04
8.787878787878788955e-01,9.974745761427851438e-06,1.811587486475249751e-09,-5.675433203577995300e-05,-3.150010597892105579e-04
8.888888888888889506e-01,8.071167962457303290e-06,1.172630129300230920e-09,-6.080698312871390954e-06,-2.305263624293729663e-04
8.989898989898991166e-01,6.513384115301479619e-06,7.550768196693722301e-10,-7.297647971427068114e-05,-2.106281026499345899e-04
9.090909090909091717e-01,5.242205891680221513e-06,4.836718738610439756e-10,3.950018253817688674e-06,-4.876609818893484771e-05
9.191919191919192267e-01,4.207845687434009519e-06,3.082061828118109708e-10,7.514403841923922300e-05,2.058761165244504809e-04
9.292929292929293927e-01,3.368566315876173548e-06,1.953726872592611772e-10,2.453001252433750778e-05,2.427378640277311206e-04
9.393939393939394478e-01,2.689497454881308259e-06,1.232024877910249288e-10,-1.034508459270000458e-04,4.485191893763840199e-04
9.494949494949496138e-01,2.141603374036787193e-06,7.728751195077442728e-11,-4.512993473326787353e-05,6.005099276080727577e-04
9.595959595959596689e-01,1.700786910199349243e-06,4.823190998831590766e-11,1.782831677701324224e-04,9.244771790690720081e-04
