x,true,terminal,branch
-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.051815390586853027e-04
-1.959595959595959558e+00,6.110803636410977457e-03,0.000000000000000000e+00,5.910180509090423584e-03
-1.919191919191919116e+00,1.221545442701674200e-02,0.000000000000000000e+00,1.270909607410430908e-02
-1.878787878787878896e+00,1.830780571945461732e-02,0.000000000000000000e+00,1.820575445890426636e-02
-1.838383838383838453e+00,2.438172324202911301e-02,0.000000000000000000e+00,2.407427877187728882e-02
-1.797979797979798011e+00,3.043109127850515683e-02,0.000000000000000000e+00,3.016378730535507202e-02
-1.757575757575757569e+00,3.644981882427006381e-02,0.000000000000000000e+00,3.647112101316452026e-02
-1.717171717171717127e+00,4.243184571768127133e-02,0.000000000000000000e+00,4.238723963499069214e-02
-1.676767676767676685e+00,4.837114874044390334e-02,0.000000000000000000e+00,4.731003195047378540e-02
-1.636363636363636243e+00,5.426174768089075950e-02,0.000000000000000000e+00,5.549397319555282593e-02
-1.595959595959596022e+00,6.009771135406938303e-02,0.000000000000000000e+00,6.062806397676467896e-02
-1.555555555555555580e+00,6.587316357259831445e-02,0.000000000000000000e+00,6.541170924901962280e-02
-1.515151515151515138e+00,7.158228906227925847e-02,0.000000000000000000e+00,7.148670405149459839e-02
-1.474747474747474696e+00,7.721933931652968930e-02,0.000000000000000000e+00,7.760702818632125854e-02
-1.434343434343434254e+00,8.277863838374777128e-02,0.000000000000000000e+00,8.373952656984329224e-02
-1.393939393939394034e+00,8.825458858178653054e-02,0.000000000000000000e+00,8.951473981142044067e-02
-1.353535353535353369e+00,9.364167613379664745e-02,0.000000000000000000e+00,9.488194435834884644e-02
-1.313131313131313149e+00,9.893447671976157709e-02,0.000000000000000000e+00,9.932071715593338013e-02
-1.272727272727272707e+00,1.041276609381427409e-01,0.000000000000000000e+00,1.049425527453422546e-01
-1.232323232323232265e+00,1.092159996721347448e-01,0.000000000000000000e+00,1.088081374764442444e-01
-1.191919191919191823e+00,1.141943693551291661e-01,0.000000000000000000e+00,1.137389019131660461e-01
-1.151515151515151381e+00,1.190577571300817095e-01,0.000000000000000000e+00,1.197088584303855896e-01
-1.111111111111111160e+00,1.238012658975824465e-01,0.000000000000000000e+00,1.238906905055046082e-01
-1.070707070707070496e+00,1.284201192475489806e-01,0.000000000000000000e+00,1.284034252166748047e-01
-1.030303030303030276e+00,1.329096662695594677e-01,0.000000000000000000e+00,1.333406269550323486e-01
-9.898989898989898339e-01,1.372653862369821454e-01,1.000000000000000000e+00,1.379436254501342773e-01
-9.494949494949493918e-01,1.414828931601711526e-01,1.000000000000000000e+00,1.419709324836730957e-01
-9.090909090909089496e-01,1.455579402041350390e-01,1.000000000000000000e+00,1.466030180454254150e-01
-8.686868686868685074e-01,1.494864239662150318e-01,1.000000000000000000e+00,1.504095792770385742e-01
-8.282828282828282873e-01,1.532643886094557373e-01,1.000000000000000000e+00,1.527369916439056396e-01
-7.878787878787878451e-01,1.568880298474887303e-01,1.000000000000000000e+00,1.569800376892089844e-01
-7.474747474747474030e-01,1.603536987769044742e-01,1.000000000000000000e+00,1.598961353302001953e-01
-7.070707070707069608e-01,1.636579055532326188e-01,1.000000000000000000e+00,1.643234789371490479e-01
-6.666666666666665186e-01,1.667973229068215879e-01,1.000000000000000000e+00,1.669756770133972168e-01
-6.262626262626260765e-01,1.697687894950467569e-01,1.000000000000000000e+00,1.703230142593383789e-01
-5.858585858585856343e-01,1.725693130874684234e-01,1.000000000000000000e+00,1.731152534484863281e-01
-5.454545454545454142e-01,1.751960735807052139e-01,1.000000000000000000e+00,1.757292449474334717e-01
-5.050505050505049720e-01,1.776464258399715890e-01,1.000000000000000000e+00,1.775469481945037842e-01
