x,true,terminal,branch
-1.000000000000000000e+01,1.480369505067891112e-02,5.447249623566463583e-03,1.094148606061935425e-01
-9.797979797979797567e+00,1.811633729811568116e-02,6.666537016732476673e-03,8.455948531627655029e-02
-9.595959595959595134e+00,2.216984259231935539e-02,8.158688425728755078e-03,8.396939933300018311e-02
-9.393939393939394478e+00,2.712969818128208033e-02,9.984740298612848619e-03,8.950881659984588623e-02
-9.191919191919192045e+00,3.319825448762259157e-02,1.221936841455217859e-02,1.478903740644454956e-01
-8.989898989898989612e+00,4.062288586873918916e-02,1.495392888705460166e-02,1.980486363172531128e-01
-8.787878787878787179e+00,4.970593272790324590e-02,1.830017376242132343e-02,2.716353535652160645e-01
-8.585858585858586522e+00,6.081680116964882643e-02,2.239478915483594790e-02,3.538334965705871582e-01
-8.383838383838384090e+00,7.440666945095131268e-02,2.740493544885858057e-02,4.215453267097473145e-01
-8.181818181818181657e+00,9.102633441300866934e-02,3.353500700478662111e-02,4.703958630561828613e-01
-7.979797979797979224e+00,1.113478256554554235e-01,4.103487405970618340e-02,5.130620598793029785e-01
-7.777777777777777679e+00,1.361905188785463849e-01,5.020992321715134210e-02,5.334199070930480957e-01
-7.575757575757576134e+00,1.665525887945982220e-01,6.143327611932036803e-02,5.424018502235412598e-01
-7.373737373737373701e+00,2.036487489605747214e-01,7.516063948988183085e-02,5.115502476692199707e-01
-7.171717171717171269e+00,2.489553178962484736e-01,9.194832421453646987e-02,4.677200913429260254e-01
-6.969696969696969724e+00,3.042637064859210483e-01,1.124750662092814935e-01,4.081085324287414551e-01
-6.767676767676768179e+00,3.717434066934526271e-01,1.375683858682243965e-01,3.509622216224670410e-01
-6.565656565656565746e+00,4.540154230225112997e-01,1.682363319686626113e-01,3.174081444740295410e-01
-6.363636363636363313e+00,5.542367458091952415e-01,2.057055624786485737e-01,3.384931683540344238e-01
-6.161616161616161769e+00,6.761958010831197186e-01,2.514668055010478298e-01,5.276351571083068848e-01
-5.959595959595959336e+00,8.244176549421897704e-01,3.073287966339108834e-01,8.872922062873840332e-01
-5.757575757575757791e+00,1.004275862020405086e+00,3.754817693228886810e-01,1.484572291374206543e+00
-5.555555555555555358e+00,1.222104902908835555e+00,4.585714281673212156e-01,2.380234479904174805e+00
-5.353535353535353813e+00,1.485302731807504273e+00,5.597839798766575115e-01,3.514621496200561523e+00
-5.151515151515151381e+00,1.802406536773666801e+00,6.829421121495027336e-01,4.676680088043212891e+00
-4.949494949494949836e+00,2.183115830674648095e+00,8.326106237033155111e-01,5.562364578247070312e+00
-4.747474747474747403e+00,2.638224930749393238e+00,1.014208475990464819e+00,5.514395236968994141e+00
-4.545454545454545858e+00,3.179411539725400360e+00,1.234121029344628084e+00,3.845515489578247070e+00
-4.343434343434343425e+00,3.818810057193916307e+00,1.499801715912413513e+00,5.232253670692443848e-01
-4.141414141414141881e+00,4.568279484066620100e+00,1.819845868207060846e+00,-2.843076467514038086e+00
-3.939393939393939448e+00,5.438261040142966962e+00,2.204010294942293058e+00,-3.110724210739135742e+00
-3.737373737373737903e+00,6.436118708523519416e+00,2.663139972312871251e+00,1.450542449951171875e+00
-3.535353535353535470e+00,7.563881194637517069e+00,3.208947715101382769e+00,9.724319458007812500e+00
-3.333333333333333037e+00,8.815376505960886178e+00,3.853574508044202318e+00,2.024197769165039062e+01
-3.131313131313131493e+00,1.017289410096231350e+01,4.608839473589394942e+00,2.755772781372070312e+01
-2.929292929292929060e+00,1.160374263171391718e+01,5.485074101065855245e+00,2.663982772827148438e+01
-2.727272727272727515e+00,1.305738913572847082e+01,6.489434423735271906e+00,2.103419685363769531e+01
-2.525252525252525082e+00,1.446421397448355428e+01,7.623611949873337679e+00,1.112893390655517578e+01
-2.323232323232323537e+00,1.573716413995357755e+01,8.880939859702600359e+00,-3.645135641098022461e+00
-2.121212121212121104e+00,1.677752463395977855e+01,1.024303885621034560e+01,-4.735207080841064453e+00
