x,true,terminal,branch
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.220649480819702148e-02
1.269330365086785151e-01,7.678220438072705378e-02,1.265924535737492640e-01,8.846347033977508545e-02
2.538660730173570301e-01,1.523289543504399712e-01,2.511479871810792242e-01,1.632790118455886841e-01
3.807991095260355729e-01,2.254246744220758381e-01,3.716624556603275731e-01,2.367764115333557129e-01
5.077321460347140603e-01,2.948932270971464376e-01,4.861967361004687072e-01,3.018567562103271484e-01
6.346651825433925476e-01,3.596168373583623068e-01,5.929079290546404035e-01,3.655608594417572021e-01
7.615982190520711459e-01,4.185540780880873668e-01,6.900790114821120369e-01,4.180155396461486816e-01
8.885312555607496332e-01,4.707566270205071346e-01,7.761464642917568213e-01,4.638549089431762695e-01
1.015464292069428121e+00,5.153845256018800836e-01,8.497254299495143881e-01,5.033463835716247559e-01
1.142397328578106608e+00,5.517196942380950819e-01,9.096319953545183301e-01,5.340659022331237793e-01
1.269330365086785095e+00,5.791774864641464626e-01,9.549022414440738737e-01,5.579300522804260254e-01
1.396263401595463582e+00,5.973160961246106737e-01,9.848077530122080203e-01,5.733352303504943848e-01
1.523196438104142292e+00,6.058436662000725725e-01,9.988673391830079629e-01,5.812597870826721191e-01
1.650129474612820779e+00,6.046229848958210029e-01,9.968547759519423845e-01,5.813542008399963379e-01
1.777062511121499266e+00,5.936736934309891911e-01,9.788024462147787430e-01,5.723459720611572266e-01
1.903995547630177754e+00,5.731719700039865639e-01,9.450008187146684557e-01,5.538521409034729004e-01
2.030928584138856241e+00,5.434476950193363187e-01,8.959937742913358649e-01,5.270683765411376953e-01
2.157861620647534728e+00,5.049791431884792514e-01,8.325698546347714002e-01,4.912774562835693359e-01
2.284794657156213216e+00,4.583852879106301570e-01,7.557495743542582689e-01,4.460731148719787598e-01
2.411727693664891703e+00,4.044158417590796306e-01,6.667690005162917322e-01,3.937206864356994629e-01
2.538660730173570190e+00,3.439391933252424760e-01,5.670598638627708521e-01,3.343911170959472656e-01
2.665593766682248678e+00,2.779284345211516793e-01,4.582265217274105185e-01,2.683223783969879150e-01
2.792526803190927165e+00,2.074457031663273776e-01,3.420201433256688794e-01,1.969185471534729004e-01
2.919459839699605652e+00,1.336250927926623533e-01,2.203105327865408081e-01,1.233706921339035034e-01
3.046392876208284584e+00,5.765440465495842715e-02,9.505604330418243597e-02,4.771506786346435547e-02
3.173325912716963071e+00,-1.924396443590165734e-02,-3.172793349806785762e-02,-2.977472543716430664e-02
3.300258949225641558e+00,-9.583269093523304194e-02,-1.580013959733500839e-01,-1.064973175525665283e-01
3.427191985734320046e+00,-1.708794335635594464e-01,-2.817325568414298376e-01,-1.806574314832687378e-01
3.554125022242998533e+00,-2.431766621391127925e-01,-4.009305354066137750e-01,-2.508054375648498535e-01
3.681058058751677020e+00,-3.115610871904829215e-01,-5.136773915734064166e-01,-3.169204294681549072e-01
3.807991095260355507e+00,-3.749323777196764129e-01,-6.181589862206052777e-01,-3.781974911689758301e-01
3.934924131769033995e+00,-4.322708659397703768e-01,-7.126941713788629285e-01,-4.326014816761016846e-01
4.061857168277712482e+00,-4.826539541113049614e-01,-7.957618405308320986e-01,-4.795448184013366699e-01
4.188790204786391413e+00,-5.252709594852754682e-01,-8.660254037844388186e-01,-5.202765464782714844e-01
4.315723241295069457e+00,-5.594361584920320984e-01,-9.223542941045813626e-01,-5.525497198104858398e-01
4.442656277803748388e+00,-5.845998202902102925e-01,-9.638421585599421526e-01,-5.769037008285522461e-01
4.569589314312426431e+00,-6.003570521417521677e-01,-9.898214418809326842e-01,-5.913979411125183105e-01
4.696522350821105363e+00,-6.064543142876293036e-01,-9.998741276738750683e-01,-5.981487035751342773e-01
4.823455387329783406e+00,-6.027934994974750715e-01,-9.938384644612541230e-01,-5.942572355270385742e-01
4.950388423838462337e+00,-5.894335116516467021e-01,-9.718115683235416524e-01,-5.805768370628356934e-01
5.077321460347140381e+00,-5.665893179557400794e-01,-9.341478602651067664e-01,-5.570043325424194336e-01
5.204254496855819312e+00,-5.346284900377815674e-01,-8.814533634475819612e-01,-5.242182016372680664e-01
5.331187533364497355e+00,-4.940652895831366687e-01,-8.145759520503358386e-01,-4.823109209537506104e-01
5.458120569873176287e+00,-4.455523936714842481e-01,-7.345917086575332045e-01,-4.342630505561828613e-01
5.585053606381854330e+00,-3.898703929582835737e-01,-6.427876096865395850e-01,-3.790043592453002930e-01
5.711986642890533261e+00,-3.279152316789209487e-01,-5.406408174555974444e-01,-3.164633810520172119e-01
5.838919679399211304e+00,-2.606837915705787490e-01,-4.297949120891719210e-01,-2.506178617477416992e-01
5.965852715907890236e+00,-1.892578516719095327e-01,-3.120334456984870664e-01,-1.809761524200439453e-01
6.092785752416569167e+00,-1.147866820933561155e-01,-1.892512443604097427e-01,-1.082930415868759155e-01
6.219718788925247210e+00,-3.846855183085713670e-02,-6.342391965656452024e-02,-3.320416063070297241e-02
6.346651825433926142e+00,3.846855183085737956e-02,6.342391965656492270e-02,4.428531229496002197e-02
6.473584861942604185e+00,1.147866820933563514e-01,1.892512443604101313e-01,1.212948411703109741e-01
6.600517898451283116e+00,1.892578516719097825e-01,3.120334456984874549e-01,1.983745098114013672e-01
6.727450934959961160e+00,2.606837915705784714e-01,4.297949120891714769e-01,2.734447121620178223e-01
6.854383971468640091e+00,3.279152316789211152e-01,5.406408174555977775e-01,3.452939093112945557e-01
6.981317007977318134e+00,3.898703929582832961e-01,6.427876096865391409e-01,4.117638766765594482e-01
7.108250044485997066e+00,4.455523936714843591e-01,7.345917086575334265e-01,4.710744619369506836e-01
7.235183080994675109e+00,4.940652895831365021e-01,8.145759520503356166e-01,5.231518149375915527e-01
7.362116117503354040e+00,5.346284900377815674e-01,8.814533634475820723e-01,5.643842816352844238e-01
7.489049154012032083e+00,5.665893179557400794e-01,9.341478602651066554e-01,5.955644249916076660e-01
7.615982190520711015e+00,5.894335116516467021e-01,9.718115683235417634e-01,6.164841651916503906e-01
7.742915227029389058e+00,6.027934994974750715e-01,9.938384644612541230e-01,6.252591013908386230e-01
7.869848263538067989e+00,6.064543142876293036e-01,9.998741276738750683e-01,6.241946220397949219e-01
7.996781300046746033e+00,6.003570521417521677e-01,9.898214418809327952e-01,6.120042204856872559e-01
8.123714336555424964e+00,5.845998202902102925e-01,9.638421585599420416e-01,5.907763838768005371e-01
8.250647373064103007e+00,5.594361584920322095e-01,9.223542941045815846e-01,5.600793361663818359e-01
8.377580409572782827e+00,5.252709594852751351e-01,8.660254037844382635e-01,5.226550698280334473e-01
8.504513446081460870e+00,4.826539541113048504e-01,7.957618405308318765e-01,4.769744873046875000e-01
8.631446482590138913e+00,4.322708659397703768e-01,7.126941713788629285e-01,4.249525666236877441e-01
