x,true,terminal,branch
0.000000000000000000e+00,2.005311992240904972e-16,2.449293598294706414e-16,6.983967497944831848e-03
1.269330365086785151e-01,1.989178881930675994e-16,2.429588572864090727e-16,7.691802456974983215e-03
2.538660730173570301e-01,1.941039138784124041e-16,2.370790557807769755e-16,9.024383500218391418e-03
3.807991095260355729e-01,1.861667349289031684e-16,2.273845635198355581e-16,9.336160495877265930e-03
5.077321460347140603e-01,1.752340635250284046e-16,2.140313685130841151e-16,8.601533249020576477e-03
6.346651825433925476e-01,1.614818104421953715e-16,1.972343286667951541e-16,7.338451221585273743e-03
7.615982190520711459e-01,1.451312545805033190e-16,1.772637146398725394e-16,6.295176222920417786e-03
8.885312555607496332e-01,1.264454825044079956e-16,1.544408610877774293e-16,3.496782854199409485e-03
1.015464292069428121e+00,1.057251552814159136e-16,1.291329962676336473e-16,1.912252977490425110e-03
1.142397328578106608e+00,8.330367073295943345e-17,1.017473331981032728e-16,-1.135854050517082214e-03
1.269330365086785095e+00,5.954179893864601392e-17,7.272451744948052329e-17,-1.745982095599174500e-03
1.396263401595463582e+00,3.482187731062747991e-17,4.253153699151544446e-17,-3.604842349886894226e-03
1.523196438104142292e+00,9.541658641514747025e-18,1.165420818216893089e-17,-3.838894888758659363e-03
1.650129474612820779e+00,-1.589208888694923995e-17,-1.941064119944638435e-17,-5.097357556223869324e-03
1.777062511121499266e+00,-4.107012675620293078e-17,-5.016316609801405327e-17,-5.903540179133415222e-03
1.903995547630177754e+00,-6.558733091182340009e-17,-8.010854687606487538e-17,-6.631506606936454773e-03
2.030928584138856241e+00,-8.904921036121550776e-17,-1.087649511471737926e-16,-6.873009726405143738e-03
2.157861620647534728e+00,-1.110782546813558741e-16,-1.356712866394258784e-16,-7.602615281939506531e-03
2.284794657156213216e+00,-1.313200083028160574e-16,-1.603946203426759367e-16,-8.677972480654716492e-03
2.411727693664891703e+00,-1.494487738325609169e-16,-1.825371445627453213e-16,-9.468061849474906921e-03
2.538660730173570190e+00,-1.651728526469235775e-16,-2.017425777961357755e-16,-1.097003929316997528e-02
2.665593766682248678e+00,-1.782392384316542964e-16,-2.177018974327906986e-16,-1.077842526137828827e-02
2.792526803190927165e+00,-1.884376881482267111e-16,-2.301583120455700539e-16,-1.063668541610240936e-02
2.919459839699605652e+00,-1.956041049230296964e-16,-2.389113932604397424e-16,-1.075991801917552948e-02
3.046392876208284584e+00,-1.996231784274915956e-16,-2.438203007240379673e-16,-1.010788790881633759e-02
3.173325912716963071e+00,-2.004302402644320830e-16,-2.448060482776828939e-16,-8.927090093493461609e-03
3.300258949225641558e+00,-1.980123045067805121e-16,-2.418527748742331569e-16,-6.689010187983512878e-03
3.427191985734320046e+00,-1.924082766460037562e-16,-2.350079997882739849e-16,-4.940433427691459656e-03
3.554125022242998533e+00,-1.837083275881845781e-16,-2.243818580132006803e-16,-1.999771222472190857e-03
3.681058058751677020e+00,-1.720524427703883213e-16,-2.101453281479470773e-16,1.285815611481666565e-03
3.807991095260355507e+00,-1.576281697425787799e-16,-1.925274812873251554e-16,3.771619871258735657e-03
3.934924131769033995e+00,-1.406676004573328055e-16,-1.718117951823590748e-16,8.173512294888496399e-03
4.061857168277712482e+00,-1.214436368234425343e-16,-1.483315929771546922e-16,9.946571663022041321e-03
4.188790204786391413e+00,-1.002655996120451623e-16,-1.224646799147352221e-16,1.296004094183444977e-02
4.315723241295069457e+00,-7.747425136962506504e-17,-9.462726430925438059e-17,1.450628228485584259e-02
4.442656277803748388e+00,-5.343631342107950624e-17,-6.526726059841781446e-17,1.510646380484104156e-02
4.569589314312426431e+00,-2.853856518632437615e-17,-3.485708223251039653e-17,1.506508328020572662e-02
4.696522350821105363e+00,-3.181620754640019336e-18,-3.886040365136960790e-18,1.409934647381305695e-02
4.823455387329783406e+00,2.222651714598917575e-17,2.714752934640548614e-17,1.313618384301662445e-02
4.950388423838462337e+00,4.727702206550049886e-17,5.774428514840151940e-17,1.108605973422527313e-02
5.077321460347140381e+00,7.156682200237251657e-17,8.741191378645572761e-17,8.798686787486076355e-03
5.204254496855819312e+00,9.470508498301619410e-17,1.156730520100492713e-16,6.600713357329368591e-03
5.331187533364497355e+00,1.163195076945321375e-16,1.420729675259346575e-16,3.969123587012290955e-03
5.458120569873176287e+00,1.360623059843836948e-16,1.661868758109592314e-16,2.284897491335868835e-03
5.585053606381854330e+00,1.536158108375991819e-16,1.876267750540545663e-16,-1.497808843851089478e-04
5.711986642890533261e+00,1.686975797901395324e-16,2.060476892506217677e-16,-1.124987378716468811e-03
5.838919679399211304e+00,1.810649415338727805e-16,2.211532189955821044e-16,-2.866117283701896667e-03
5.965852715907890236e+00,1.905189005887638846e-16,2.327003106607594178e-16,-3.391629084944725037e-03
6.092785752416569167e+00,1.969073392146394821e-16,2.405031672187408491e-16,-4.816373810172080994e-03
6.219718788925247210e+00,2.001274650425713942e-16,2.444362377865996957e-16,-4.698736593127250671e-03
6.346651825433926142e+00,2.001274650425713696e-16,2.444362377865996464e-16,-4.903664812445640564e-03
6.473584861942604185e+00,1.969073392146394821e-16,2.405031672187408491e-16,-4.793031141161918640e-03
6.600517898451283116e+00,1.905189005887638107e-16,2.327003106607593191e-16,-4.085322842001914978e-03
6.727450934959961160e+00,1.810649415338728051e-16,2.211532189955821537e-16,-3.359703347086906433e-03
6.854383971468640091e+00,1.686975797901395077e-16,2.060476892506217184e-16,-1.997722312808036804e-03
6.981317007977318134e+00,1.536158108375992558e-16,1.876267750540546403e-16,-1.940174028277397156e-03
7.108250044485997066e+00,1.360623059843836208e-16,1.661868758109591575e-16,-1.302646473050117493e-03
7.235183080994675109e+00,1.163195076945322115e-16,1.420729675259347561e-16,-9.023565798997879028e-04
7.362116117503354040e+00,9.470508498301613247e-17,1.156730520100491974e-16,6.921403110027313232e-05
7.489049154012032083e+00,7.156682200237261517e-17,8.741191378645583855e-17,1.077501103281974792e-03
7.615982190520711015e+00,4.727702206550042490e-17,5.774428514840143312e-17,1.194970682263374329e-03
7.742915227029389058e+00,2.222651714598927436e-17,2.714752934640560631e-17,2.299847081303596497e-03
7.869848263538067989e+00,-3.181620754640099454e-18,-3.886040365137058627e-18,3.655834123492240906e-03
7.996781300046746033e+00,-2.853856518632428371e-17,-3.485708223251027944e-17,3.984127193689346313e-03
8.123714336555424964e+00,-5.343631342107958636e-17,-6.526726059841791307e-17,4.971588030457496643e-03
8.250647373064103007e+00,-7.747425136962497876e-17,-9.462726430925426965e-17,5.991574376821517944e-03
8.377580409572782827e+00,-1.002655996120454088e-16,-1.224646799147355179e-16,6.590055301785469055e-03
8.504513446081460870e+00,-1.214436368234426083e-16,-1.483315929771547661e-16,8.040064945816993713e-03
8.631446482590138913e+00,-1.406676004573328055e-16,-1.718117951823590501e-16,9.778598323464393616e-03
8.758379519098816957e+00,-1.576281697425787306e-16,-1.925274812873251061e-16,1.054753176867961884e-02
8.885312555607496776e+00,-1.720524427703883952e-16,-2.101453281479471759e-16,1.088543795049190521e-02
9.012245592116174819e+00,-1.837083275881845781e-16,-2.243818580132006803e-16,1.232211105525493622e-02
9.139178628624852863e+00,-1.924082766460037562e-16,-2.350079997882739849e-16,1.304317452013492584e-02
9.266111665133530906e+00,-1.980123045067805121e-16,-2.418527748742331569e-16,1.440198160707950592e-02
9.393044701642210725e+00,-2.004302402644321323e-16,-2.448060482776829432e-16,1.317240484058856964e-02
9.519977738150888769e+00,-1.996231784274915956e-16,-2.438203007240379673e-16,1.229370571672916412e-02
9.646910774659566812e+00,-1.956041049230296964e-16,-2.389113932604397424e-16,1.050951518118381500e-02
9.773843811168244855e+00,-1.884376881482267357e-16,-2.301583120455701032e-16,8.305104449391365051e-03
9.900776847676924675e+00,-1.782392384316542717e-16,-2.177018974327906739e-16,6.339969113469123840e-03
1.002770988418560272e+01,-1.651728526469235775e-16,-2.017425777961357755e-16,3.418164327740669250e-03
1.015464292069428076e+01,-1.494487738325609908e-16,-1.825371445627454199e-16,8.665937930345535278e-04
1.028157595720296058e+01,-1.313200083028159588e-16,-1.603946203426758135e-16,1.964289695024490356e-04
1.040850899371163862e+01,-1.110782546813558248e-16,-1.356712866394258045e-16,-2.314893528819084167e-03
1.053544203022031667e+01,-8.904921036121550776e-17,-1.087649511471738050e-16,-1.528916880488395691e-03
1.066237506672899471e+01,-6.558733091182349870e-17,-8.010854687606498632e-17,-1.622138544917106628e-03
1.078930810323767453e+01,-4.107012675620276438e-17,-5.016316609801384989e-17,-1.862732693552970886e-03
