x,true,terminal,branch
0.000000000000000000e+00,4.965122214666175537e-01,5.000000000000000000e-01,5.224263668060302734e-01
1.269330365086785151e-01,5.593669218114294406e-01,5.632962267868746320e-01,5.858897566795349121e-01
2.538660730173570301e-01,6.212102664987647627e-01,6.255739935905395566e-01,6.446400880813598633e-01
3.807991095260355729e-01,6.810471729622650239e-01,6.858312278301638143e-01,7.052353620529174805e-01
5.077321460347140603e-01,7.379148429776800633e-01,7.430983680502343258e-01,7.606396675109863281e-01
6.346651825433925476e-01,7.908982544467086928e-01,7.964539645273202018e-01,8.124378323554992676e-01
7.615982190520711459e-01,8.391448844450885014e-01,8.450395057410560185e-01,8.615958690643310547e-01
8.885312555607496332e-01,8.818784266355784718e-01,8.880732321458784106e-01,9.037017822265625000e-01
1.015464292069428121e+00,9.184112823275276671e-01,9.248627149747572496e-01,9.410573840141296387e-01
1.142397328578106608e+00,9.481556241972014520e-01,9.548159976772592206e-01,9.695013165473937988e-01
1.269330365086785095e+00,9.706328546494670251e-01,9.774511207220368814e-01,9.907978177070617676e-01
1.396263401595463582e+00,9.854813066322570814e-01,9.924038765061040657e-01,1.003870010375976562e+00
1.523196438104142292e+00,9.924620629948222028e-01,9.994336695915040369e-01,1.008774757385253906e+00
1.650129474612820779e+00,9.914628007541237409e-01,9.984273879759711923e-01,1.005278587341308594e+00
1.777062511121499266e+00,9.824995984136768445e-01,9.894012231073894270e-01,9.934902787208557129e-01
1.903995547630177754e+00,9.657166772544099054e-01,9.725004093573341724e-01,9.735940098762512207e-01
2.030928584138856241e+00,9.413840807602678051e-01,9.479968871456678770e-01,9.452134966850280762e-01
2.157861620647534728e+00,9.098933295174667091e-01,9.162849273173856446e-01,9.101259112358093262e-01
2.284794657156213216e+00,8.717511215017009762e-01,8.778747871771290789e-01,8.698972463607788086e-01
2.411727693664891703e+00,8.275711791180379029e-01,8.333845002581459216e-01,8.242734074592590332e-01
2.538660730173570190e+00,7.780643741776795963e-01,7.835299319313854260e-01,7.740857601165771484e-01
2.665593766682248678e+00,7.240272897044154332e-01,7.291132608637052037e-01,7.182145714759826660e-01
2.792526803190927165e+00,6.663294026155763827e-01,6.710100716628344397e-01,6.618470549583435059e-01
2.919459839699605652e+00,6.058990935129570099e-01,6.101552663932704457e-01,6.023662686347961426e-01
3.046392876208284584e+00,5.437087086914041967e-01,5.475280216520912457e-01,5.420130491256713867e-01
3.173325912716963071e+00,4.807589147229467397e-01,4.841360332509660469e-01,4.829173684120178223e-01
3.300258949225641558e+00,4.180625973570628595e-01,4.209993020133249719e-01,4.230337440967559814e-01
3.427191985734320046e+00,3.566285638098091182e-01,3.591337215792850812e-01,3.645790219306945801e-01
3.554125022242998533e+00,2.974453106780793887e-01,2.995347322966931403e-01,3.078186213970184326e-01
3.681058058751677020e+00,2.414651186593279597e-01,2.431613042132967917e-01,2.545834183692932129e-01
3.807991095260355507e+00,1.895887299986726005e-01,1.909205068896973612e-01,2.046324908733367920e-01
3.934924131769033995e+00,1.426508552089880699e-01,1.436529143105685358e-01,1.597520112991333008e-01
4.061857168277712482e+00,1.014067422662898454e-01,1.021190797345839507e-01,1.193721368908882141e-01
4.188790204786391413e+00,6.652002438708137788e-02,6.698729810778059068e-02,8.490229398012161255e-02
4.315723241295069457e+00,3.855204192147795167e-02,3.882285294770931872e-02,5.718759447336196899e-02
4.442656277803748388e+00,1.795281017684084365e-02,1.807892072002892370e-02,3.589501231908798218e-02
4.569589314312426431e+00,5.053778503025189300e-03,5.089279059533657890e-03,2.318627387285232544e-02
4.696522350821105363e+00,6.249714826546040993e-05,6.293616306246585523e-05,1.834700256586074829e-02
4.823455387329783406e+00,3.059277697988227549e-03,3.080767769372938503e-03,2.197741717100143433e-02
4.950388423838462337e+00,1.399590083133830411e-02,1.409421583822917379e-02,3.354189544916152954e-02
5.077321460347140381e+00,3.269639218810195536e-02,3.292606986744661679e-02,5.294729024171829224e-02
5.204254496855819312e+00,5.885985386203680669e-02,5.927331827620901938e-02,7.860236614942550659e-02
5.331187533364497355e+00,9.206530596082036777e-02,9.271202397483208069e-02,1.107755526900291443e-01
5.458120569873176287e+00,1.317784603301074275e-01,1.327041456712333978e-01,1.476454734802246094e-01
5.585053606381854330e+00,1.773603174499366886e-01,1.786061951567302075e-01,1.895377635955810547e-01
5.711986642890533261e+00,2.280774481762108119e-01,2.296795912722012778e-01,2.360908687114715576e-01
5.838919679399211304e+00,2.831137948901731871e-01,2.851025439554140117e-01,2.855915129184722900e-01
5.965852715907890236e+00,3.415838021709786121e-01,3.439832771507564946e-01,3.379851579666137695e-01
6.092785752416569167e+00,4.025466657139088467e-01,4.053743778197951286e-01,3.933383226394653320e-01
6.219718788925247210e+00,4.650214702238164577e-01,4.682880401717177676e-01,4.514800310134887695e-01
6.346651825433926142e+00,5.280029727094188718e-01,5.317119598282824544e-01,5.108672380447387695e-01
6.473584861942604185e+00,5.904777772193264829e-01,5.946256221802050934e-01,5.714853405952453613e-01
6.600517898451283116e+00,6.514406407622567174e-01,6.560167228492437275e-01,6.317905783653259277e-01
6.727450934959961160e+00,7.099106480430616983e-01,7.148974560445857662e-01,6.909285187721252441e-01
6.854383971468640091e+00,7.649469947570244344e-01,7.703204087277988332e-01,7.480223774909973145e-01
6.981317007977318134e+00,8.156641254832982524e-01,8.213938048432696259e-01,8.016940951347351074e-01
7.108250044485997066e+00,8.612459826031277910e-01,8.672958543287667688e-01,8.507065176963806152e-01
7.235183080994675109e+00,9.009591369724145871e-01,9.072879760251677528e-01,8.939203023910522461e-01
7.362116117503354040e+00,9.341645890711983702e-01,9.407266817237910361e-01,9.295960068702697754e-01
7.489049154012032083e+00,9.603280507451330550e-01,9.670739301325532722e-01,9.591287970542907715e-01
7.615982190520711015e+00,9.790285421018968259e-01,9.859057841617708817e-01,9.808351397514343262e-01
7.742915227029389058e+00,9.899651652352469133e-01,9.969192322306270615e-01,9.923455119132995605e-01
7.869848263538067989e+00,9.929619457849696573e-01,9.999370638369375897e-01,9.961829781532287598e-01
7.996781300046746033e+00,9.879706644302099772e-01,9.949107209404663976e-01,9.917414784431457520e-01
8.123714336555424964e+00,9.750716327563943020e-01,9.819210792799710763e-01,9.776311516761779785e-01
8.250647373064103007e+00,9.544724010117572321e-01,9.611771470522907368e-01,9.562146067619323730e-01
8.377580409572782827e+00,9.265044185461535076e-01,9.330127018922191873e-01,9.267772436141967773e-01
8.504513446081460870e+00,8.916177006669451233e-01,8.978809202654158828e-01,8.915387988090515137e-01
8.631446482590138913e+00,8.503735877242470931e-01,8.563470856894315197e-01,8.488117456436157227e-01
8.758379519098816957e+00,8.034357129345627291e-01,8.090794931103028054e-01,8.017380833625793457e-01
8.885312555607496776e+00,7.515593242739068147e-01,7.568386957867028197e-01,7.496949434280395508e-01
9.012245592116174819e+00,6.955791322551555522e-01,7.004652677033067487e-01,6.936390995979309082e-01
9.139178628624852863e+00,6.363958791234259893e-01,6.408662784207149743e-01,6.361336708068847656e-01
9.266111665133530906e+00,5.749618455761725810e-01,5.790006979866753056e-01,5.771256685256958008e-01
9.393044701642210725e+00,5.122655282102878127e-01,5.158639667490334535e-01,5.143914222717285156e-01
9.519977738150888769e+00,4.493157342418307443e-01,4.524719783479085877e-01,4.529071450233459473e-01
9.646910774659566812e+00,3.871253494202783196e-01,3.898447336067298319e-01,3.907121121883392334e-01
