x,true,terminal,branch
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.683315590023994446e-03
1.010101010101010187e-02,5.376481603960558443e-03,8.864319581977714996e-03,1.826187595725059509e-03
2.020202020202020374e-02,1.075241464798943822e-02,1.772773474152781678e-02,7.696947082877159119e-03
3.030303030303030387e-02,1.612725062812426710e-02,2.658934114850048172e-02,1.368411444127559662e-02
4.040404040404040747e-02,2.150044115233561495e-02,3.544823465729210477e-02,1.935560069978237152e-02
5.050505050505051108e-02,2.687143799647913681e-02,4.430351139909478875e-02,2.511800639331340790e-02
6.060606060606060774e-02,3.223969316023066883e-02,5.315426787411773463e-02,3.092074207961559296e-02
7.070707070707071829e-02,3.760465892299841295e-02,6.199960104377085640e-02,3.652115166187286377e-02
8.080808080808081495e-02,4.296578789980663726e-02,7.083860842280138848e-02,4.217494279146194458e-02
9.090909090909091161e-02,4.832253309714511225e-02,7.967038817137409024e-02,4.753754287958145142e-02
1.010101010101010222e-01,5.367434796877861014e-02,8.849403918708551031e-02,5.345872789621353149e-02
1.111111111111111188e-01,5.902068647151073599e-02,9.730866119690304017e-02,5.881140381097793579e-02
1.212121212121212155e-01,6.436100312089647335e-02,1.061133548490193479e-01,6.436250358819961548e-02
1.313131313131313260e-01,6.969475304689776163e-02,1.149072218046128940e-01,7.027278095483779907e-02
1.414141414141414366e-01,7.502139204947622098e-02,1.236893648295049331e-01,7.566756755113601685e-02
1.515151515151515194e-01,8.034037665411776497e-02,1.324588878857039520e-01,8.110863715410232544e-02
1.616161616161616299e-01,8.565116416728296711e-02,1.412148962228280680e-01,8.665386587381362915e-02
1.717171717171717404e-01,9.095321273177786603e-02,1.499564964693958780e-01,9.244246035814285278e-02
1.818181818181818232e-01,9.624598138203932507e-02,1.586827967239767545e-01,9.747806936502456665e-02
1.919191919191919338e-01,1.015289300993296590e-01,1.673929066461912751e-01,1.028800979256629944e-01
2.020202020202020443e-01,1.068015198668343518e-01,1.760859375475521127e-01,1.083469763398170471e-01
2.121212121212121271e-01,1.120632127246577459e-01,1.847610024821364771e-01,1.138086691498756409e-01
2.222222222222222376e-01,1.173134718247108299e-01,1.934172163370809217e-01,1.188026890158653259e-01
2.323232323232323482e-01,1.225517614854856746e-01,2.020536959228889651e-01,1.243417486548423767e-01
2.424242424242424310e-01,1.277775472467106155e-01,2.106695600635423715e-01,1.298809796571731567e-01
2.525252525252525415e-01,1.329902959238810911e-01,2.192639296864073162e-01,1.349818259477615356e-01
2.626262626262626521e-01,1.381894756626602938e-01,2.278359279119256953e-01,1.403331458568572998e-01
2.727272727272727626e-01,1.433745559931437763e-01,2.363846801430826983e-01,1.456112861633300781e-01
2.828282828282828731e-01,1.485450078839833654e-01,2.449093141546415942e-01,1.506505608558654785e-01
2.929292929292929282e-01,1.537003037963636243e-01,2.534089601821363780e-01,1.557286530733108521e-01
3.030303030303030387e-01,1.588399177378267690e-01,2.618827510106135903e-01,1.608520001173019409e-01
3.131313131313131493e-01,1.639633253159391846e-01,2.703298220631137339e-01,1.659696251153945923e-01
3.232323232323232598e-01,1.690700037917950149e-01,2.787493114888837664e-01,1.711800992488861084e-01
3.333333333333333703e-01,1.741594321333509165e-01,2.871403602513110664e-01,1.763955652713775635e-01
3.434343434343434809e-01,1.792310910685868675e-01,2.955021122155709334e-01,1.815212666988372803e-01
3.535353535353535914e-01,1.842844631384870924e-01,3.038337142359773813e-01,1.864283233880996704e-01
3.636363636363636465e-01,1.893190327498362746e-01,3.121343162430292306e-01,1.914639621973037720e-01
3.737373737373737570e-01,1.943342862278251704e-01,3.204030713301423416e-01,1.964847147464752197e-01
3.838383838383838675e-01,1.993297118684607960e-01,3.286391358400591045e-01,2.011066377162933350e-01
3.939393939393939781e-01,2.043047999907751933e-01,3.368416694509264175e-01,2.060361057519912720e-01
4.040404040404040886e-01,2.092590429888279424e-01,3.450098352620331599e-01,2.112222462892532349e-01
4.141414141414141992e-01,2.141919353834970952e-01,3.531427998791990541e-01,2.158327996730804443e-01
4.242424242424242542e-01,2.191029738740527810e-01,3.612397334998052600e-01,2.206648290157318115e-01
4.343434343434343647e-01,2.239916573895090468e-01,3.692998099974590942e-01,2.253911942243576050e-01
4.444444444444444753e-01,2.288574871397474897e-01,3.773222070062827171e-01,2.305628061294555664e-01
4.545454545454545858e-01,2.336999666664090203e-01,3.853061060048194597e-01,2.349894046783447266e-01
4.646464646464646964e-01,2.385186018935468721e-01,3.932506923995465753e-01,2.398112863302230835e-01
4.747474747474748069e-01,2.433129011780372219e-01,4.011551556079882563e-01,2.445073127746582031e-01
