runtime,l1_error,l2_error,rel_error
4.567020821571350098e+01,3.330202440571772195e-03,3.192430910592523755e-05,7.013652002323001594e-03
4.495732164382934570e+01,2.735385627071233380e-03,2.644666177018826028e-05,5.754558910455809598e-03
4.607470750808715820e+01,2.967324554451003689e-03,2.957511393048913473e-05,5.968670093976899751e-03
4.463104343414306641e+01,2.409411449625559632e-03,2.082010821562433505e-05,5.184169863461703803e-03
4.538901495933532715e+01,3.006023854376088135e-03,2.687834142340968170e-05,5.821454323787490087e-03
4.455956625938415527e+01,3.434017165411790314e-03,3.423563493106191667e-05,6.925618795215527680e-03
4.650448393821716309e+01,2.705794227004363738e-03,3.348559584401197007e-05,4.638009897783656674e-03
4.477463293075561523e+01,2.978364129023463192e-03,2.356778670895816745e-05,5.783233070313933098e-03
4.490186691284179688e+01,3.239868751856314968e-03,2.325046157026045641e-05,6.726420214539312846e-03
4.392194318771362305e+01,2.989014304967048483e-03,2.216205758588497298e-05,6.204676034000627081e-03
