runtime,l1_error,l2_error,rel_error
3.564619302749633789e+01,6.449966680417904864e-03,6.634176483126037098e-05,4.535604912162957691e-02
3.427035474777221680e+01,4.662080864447380735e-03,3.760860351732440277e-05,3.185828827247075279e-02
3.568597269058227539e+01,4.279351979850141811e-03,3.825024787624526745e-05,3.064985147310628558e-02
3.425409293174743652e+01,4.782204369622978027e-03,4.625050860603647715e-05,3.301371967723409906e-02
4.179668664932250977e+01,5.168203138506951254e-03,4.202295967156158344e-05,3.191345519825470461e-02
3.441987800598144531e+01,6.369913126163144652e-03,7.223000341632060297e-05,3.549968682964598637e-02
3.508470344543457031e+01,3.852143102222817597e-03,3.169566649016705251e-05,2.485430565360984001e-02
3.434577417373657227e+01,5.609750768908790090e-03,4.977906228527991249e-05,2.749106543421329929e-02
3.490695500373840332e+01,3.998712612000887220e-03,2.910172851926368833e-05,3.299383134842041876e-02
3.366688680648803711e+01,4.930853615153694275e-03,4.599347958104346858e-05,2.909731855901860273e-02
