runtime,l1_error,l2_error,rel_error
9.118626785278320312e+01,1.148145834306297886e+01,3.798406368581661923e+02,1.780357992622719487e-01
6.590756583213806152e+01,1.186507011180524174e+01,4.896067411992516440e+02,2.122210070229809675e-01
4.556750512123107910e+01,1.227405470940029630e+01,5.473232924493785276e+02,2.458654506518298810e-01
9.869289875030517578e+01,8.133358734868899376e+00,1.911520960363488371e+02,1.941112813539902504e-01
9.166096162796020508e+01,8.350904442840260344e+00,1.784202298401773419e+02,2.231283788478431451e-01
2.302688870429992676e+02,1.207634426387546966e+01,4.507890196309037378e+02,1.463777336235684845e-01
9.238818335533142090e+01,1.314027289225851547e+01,5.091176422190583253e+02,2.447388011750293302e-01
6.833669972419738770e+01,1.437881864851928881e+01,8.163065266270791653e+02,2.051356847253887894e-01
6.790153670310974121e+01,1.187335200363622789e+01,5.427669365820673875e+02,2.022428333083109153e-01
4.564471960067749023e+01,1.030231657238275389e+01,3.126918354153243627e+02,1.812524488360448827e-01
