runtime,l1_error,l2_error,rel_error
1.637630844116210938e+02,9.803148127783761767e-02,1.184814833281016590e-02,5.616802103331255402e-01
1.645790705680847168e+02,3.146917399374656726e-02,1.233388047072662801e-03,1.624583149479352784e-01
1.646279780864715576e+02,8.214049714024541926e-02,8.533754064138393547e-03,5.300796360075175073e-01
1.717420010566711426e+02,9.476787484873758216e-02,1.124988271266038481e-02,5.709001223461868113e-01
1.627908833026885986e+02,1.065441102009582336e-01,1.411071910856001067e-02,6.036545117270716299e-01
1.647525773048400879e+02,3.830739002415926853e-02,2.135279461905144685e-03,2.647289908353624988e-01
1.631234333515167236e+02,8.066601040180206017e-02,7.880487564692631453e-03,4.738174804642872329e-01
1.648528497219085693e+02,7.938276059617030422e-02,8.323174325370613288e-03,5.458102685935756204e-01
1.633181340694427490e+02,1.016020471193902208e-01,1.282969213633742937e-02,5.902675024076037280e-01
1.643864464759826660e+02,1.052277091496770234e-01,1.363080566868107336e-02,5.964808683315179216e-01
