runtime,l1_error,l2_error,rel_error
1.593372864723205566e+02,1.567867673107706597e-02,3.829883024271186803e-04,7.740138347348363146e-02
1.595290558338165283e+02,1.257654816108915406e-02,2.317114043267290305e-04,1.035357383230196132e-01
1.603091006278991699e+02,8.968676051790240578e-03,1.450617355751413374e-04,8.708196848516980282e-02
1.631529560089111328e+02,1.138554213848780999e-02,1.756488404758035470e-04,7.141076937407482561e-02
1.593247578144073486e+02,6.490520294322981408e-03,6.999773219714152783e-05,2.875376379992565512e-02
1.572449345588684082e+02,4.993059457848606462e-03,3.950672927844921164e-05,1.693279989889780873e-02
1.590180227756500244e+02,8.580774418315102389e-03,9.677527128387563389e-05,4.705239826298406036e-02
1.652615008354187012e+02,5.918954864949143267e-03,5.306841111993391416e-05,3.029051533646715325e-02
1.688829410076141357e+02,8.665309394910412910e-03,1.078242824654254152e-04,7.098737248185452153e-02
1.658104536533355713e+02,6.227423250850108206e-03,5.260049009793972097e-05,2.411052653659158385e-02
