runtime,l1_error,l2_error,rel_error
6.301603746414184570e+01,3.066830170128294064e+00,9.965003378018863600e+00,1.276112406513770381e+01
6.002978324890136719e+01,nan,nan,nan
6.091074037551879883e+01,nan,nan,nan
5.793125939369201660e+01,2.763004487130590547e+00,8.003133100148495771e+00,9.320128615695296048e+00
6.067665886878967285e+01,2.165762306776098711e+00,4.831248767886463291e+00,7.605449147780213970e+00
6.112544465065002441e+01,nan,nan,nan
6.017964768409729004e+01,9.461313335311538619e-01,1.016899095161210465e+00,3.952256559578344763e+00
6.086088585853576660e+01,1.500066916968874953e+00,2.376288426893478967e+00,4.624034750543242644e+00
6.920412182807922363e+01,3.136276004288145014e+00,1.007171806933541980e+01,1.087820178702754426e+01
5.808742237091064453e+01,2.306963497117957562e+00,6.108628154447208303e+00,6.496266670929661480e+00
