runtime,l1_error,l2_error,rel_error
5.889111280441284180e+01,1.654629158825636992e+00,3.107946904903875041e+00,4.502157820058123150e+00
6.093530488014221191e+01,1.436195635847943297e+00,2.279637973488406466e+00,4.333466728664988388e+00
6.230137324333190918e+01,3.485999583201530694e+00,1.325046968711512640e+01,1.121815607740761145e+01
6.279486799240112305e+01,6.144272547045317445e-01,4.306844380330971389e-01,2.165235942888489529e+00
5.994417500495910645e+01,1.352934570455802010e+00,2.105652457755671669e+00,4.874112484957557001e+00
6.083126831054687500e+01,2.034172698349116182e+00,5.112356695712636068e+00,7.902914080590118573e+00
6.118206787109375000e+01,1.733791791027046836e+00,4.135361324199860356e+00,3.979683537597050513e+00
6.088405132293701172e+01,2.084878887112477486e+00,6.996745250937576266e+00,8.182145173029919505e+00
6.159989261627197266e+01,2.108950388677222509e+00,4.730111575960298076e+00,6.686748875130390068e+00
6.134796118736267090e+01,1.479974566219796062e+00,2.562820692514462539e+00,4.594245783962155549e+00
