runtime,l1_error,l2_error,rel_error
5.573041009902954102e+01,1.115556146268497067e-03,2.143064720820543047e-06,9.637427001783462760e-03
6.363312363624572754e+01,1.158831048405097779e-03,6.242669708987895566e-06,2.422426864794347337e-03
6.305775284767150879e+01,7.045894088433723914e-04,1.745700571198589126e-06,2.949369569475174778e-03
6.288288855552673340e+01,4.111181120600426991e-04,4.373840616233536519e-07,1.891526324381448496e-03
6.204356193542480469e+01,4.561010129157905507e-04,2.977779030081999938e-07,2.869047589929283812e-03
6.263609647750854492e+01,6.480961970275745093e-04,6.740098060728670906e-07,3.588054854234484174e-03
6.185040688514709473e+01,7.639947544511205453e-04,1.028771332747871840e-06,7.937202263405787606e-03
6.009177947044372559e+01,2.427066323373589917e-03,2.463023752907431716e-05,9.714699275198990583e-03
5.960497951507568359e+01,4.458397842902575223e-03,2.348057610965816383e-05,4.810336806225126022e-02
5.860549187660217285e+01,1.077620254659010729e-03,3.851166305188997328e-06,5.397683003718727057e-03
