runtime,l1_error,l2_error,rel_error
5.803341317176818848e+01,1.052982468877716000e-03,3.854181770823749733e-06,2.749145789877624826e-03
6.525950956344604492e+01,7.478243266337277840e-04,1.428521714519023839e-06,4.078088785128448045e-03
5.975731348991394043e+01,2.216857348871092200e-03,6.823894222880642801e-06,7.525506676026694208e-03
5.507699418067932129e+01,2.097919259293571162e-03,6.055345835760288940e-06,8.310671009896918732e-03
5.642431926727294922e+01,2.218228329046264234e-03,8.857418842471082086e-06,9.346164713343083075e-03
5.540957307815551758e+01,1.631227851677066396e-03,1.135732750289778685e-05,2.633993020845207776e-03
5.529160356521606445e+01,1.151973414129944242e-03,3.871053022137665864e-06,2.688746580061741800e-03
5.695216727256774902e+01,1.295031776084136499e-03,7.191310028138680926e-06,5.090032209019834837e-03
5.574575567245483398e+01,1.376954514606490779e-03,3.124135393891159379e-06,5.160689120547238412e-03
5.824843740463256836e+01,5.649828072117660770e-04,1.246794975566806871e-06,1.314591131241658536e-03
