x, branch
-8.000000000000000000e+00,-9.871168136596679688e-01
-6.222222328186035156e+00,-9.719381332397460938e-01
-4.444444656372070312e+00,-9.351677298545837402e-01
-2.666666507720947266e+00,-8.772274851799011230e-01
-8.888888359069824219e-01,-7.756199836730957031e-01
8.888888359069824219e-01,-5.908781290054321289e-01
2.666666507720947266e+00,-3.850715756416320801e-01
4.444444656372070312e+00,-2.221912294626235962e-01
6.222222328186035156e+00,-1.139065921306610107e-01
8.000000000000000000e+00,-5.533850193023681641e-02
