x, branch
-8.000000000000000000e+00,-7.778683304786682129e-01
-6.222222328186035156e+00,-7.467886209487915039e-01
-4.444444656372070312e+00,-7.074093818664550781e-01
-2.666666507720947266e+00,-6.756339073181152344e-01
-8.888888359069824219e-01,-6.336429715156555176e-01
8.888888359069824219e-01,-5.937288403511047363e-01
2.666666507720947266e+00,-5.430304408073425293e-01
4.444444656372070312e+00,-5.036883950233459473e-01
6.222222328186035156e+00,-4.570387303829193115e-01
8.000000000000000000e+00,-4.133873879909515381e-01
