x, true, terminal
-8.000000000000000000e+00,-7.772998611746910758e-01,-6.899744811276125045e-01
-7.838383838383838231e+00,-7.744896750499431493e-01,-6.865067833445396284e-01
-7.676767676767676463e+00,-7.716544452946205723e-01,-6.830181177924143920e-01
-7.515151515151515582e+00,-7.687942108606907743e-01,-6.795087534381124561e-01
-7.353535353535353813e+00,-7.659090179784767694e-01,-6.759789678875031127e-01
-7.191919191919192045e+00,-7.629989202641056512e-01,-6.724290473509956234e-01
-7.030303030303030276e+00,-7.600639788240439731e-01,-6.688592866021120242e-01
-6.868686868686868507e+00,-7.571042623565504837e-01,-6.652699889290161206e-01
-6.707070707070706739e+00,-7.541198472498695793e-01,-6.616614660789376101e-01
-6.545454545454544970e+00,-7.511108176769938360e-01,-6.580340381954392637e-01
-6.383838383838384090e+00,-7.480772656868169834e-01,-6.543880337484840881e-01
-6.222222222222222321e+00,-7.450192912915074572e-01,-6.507237894572693859e-01
-6.060606060606060552e+00,-7.419370025499242294e-01,-6.470416502058040642e-01
-5.898989898989898784e+00,-7.388305156469034962e-01,-6.433419689512156481e-01
-5.737373737373737015e+00,-7.356999549682449180e-01,-6.396251066247835571e-01
-5.575757575757576134e+00,-7.325454531712235484e-01,-6.358914320257059716e-01
-5.414141414141413478e+00,-7.293671512504606991e-01,-6.321413217076171653e-01
-5.252525252525252597e+00,-7.261651985989863167e-01,-6.283751598578850572e-01
-5.090909090909090828e+00,-7.229397530643257852e-01,-6.245933381697255093e-01
-4.929292929292929060e+00,-7.196909809994533891e-01,-6.207962557071877718e-01
-4.767676767676767291e+00,-7.164190573084492364e-01,-6.169843187630664749e-01
-4.606060606060605522e+00,-7.131241654867072066e-01,-6.131579407098179946e-01
-4.444444444444444642e+00,-7.098064976555407135e-01,-6.093175418435606838e-01
-4.282828282828281985e+00,-7.064662545910409541e-01,-6.054635492212547820e-01
-4.121212121212121104e+00,-7.031036457470423162e-01,-6.015963964911680284e-01
-3.959595959595959336e+00,-6.997188892720594966e-01,-5.977165237167421097e-01
-3.797979797979797567e+00,-6.963122120200632148e-01,-5.938243771939888394e-01
-3.636363636363635798e+00,-6.928838495549668464e-01,-5.899204092625539575e-01
-3.474747474747474030e+00,-6.894340461487055149e-01,-5.860050781105972106e-01
-3.313131313131313149e+00,-6.859630547727910699e-01,-5.820788475736493606e-01
-3.151515151515151381e+00,-6.824711370832370338e-01,-5.781421869276159864e-01
-2.989898989898989612e+00,-6.789585633987524904e-01,-5.741955706761076028e-01
-2.828282828282827843e+00,-6.754256126721138731e-01,-5.702394783322879412e-01
-2.666666666666666075e+00,-6.718725724546253941e-01,-5.662743941954391236e-01
-2.505050505050504306e+00,-6.682997388535970584e-01,-5.623008071224541160e-01
-2.343434343434342537e+00,-6.647074164827663223e-01,-5.583192102944738444e-01
-2.181818181818181657e+00,-6.610959184056075522e-01,-5.543301009788975664e-01
-2.020202020202019888e+00,-6.574655660714769922e-01,-5.503339802870019781e-01
-1.858585858585858119e+00,-6.538166892445512746e-01,-5.463313529274120839e-01
-1.696969696969696351e+00,-6.501496259255288290e-01,-5.423227269556752939e-01
-1.535353535353534582e+00,-6.464647222660725445e-01,-5.383086135201990974e-01
-1.373737373737372813e+00,-6.427623324759796919e-01,-5.342895266048148795e-01
-1.212121212121211933e+00,-6.390428187230788870e-01,-5.302659827682414395e-01
-1.050505050505050164e+00,-6.353065510258635307e-01,-5.262385008807253239e-01
-8.888888888888883955e-01,-6.315539071388780457e-01,-5.222076018581396362e-01
-7.272727272727266268e-01,-6.277852724308908838e-01,-5.181738083938306483e-01
-5.656565656565648581e-01,-6.240010397558912736e-01,-5.141376446885014273e-01
-4.040404040404030894e-01,-6.202016093169642197e-01,-5.100996361784311262e-01
-2.424242424242422089e-01,-6.163873885231059280e-01,-5.060603092623249255e-01
-8.080808080808044025e-02,-6.125587918390523745e-01,-5.020201910270988277e-01
8.080808080808132843e-02,-6.087162406282080607e-01,-4.979798089729011168e-01
2.424242424242439853e-01,-6.048601629887696562e-01,-4.939396907376750190e-01
4.040404040404048658e-01,-6.009909935831521111e-01,-4.899003638215688183e-01
5.656565656565657463e-01,-5.971091734608354740e-01,-4.858623553114985172e-01
7.272727272727284031e-01,-5.932151498747626484e-01,-4.818261916061693517e-01
8.888888888888892836e-01,-5.893093760914265289e-01,-4.777923981418603083e-01
1.050505050505051940e+00,-5.853923111947981761e-01,-4.737614991192746206e-01
1.212121212121212821e+00,-5.814644198842582323e-01,-4.697340172317584495e-01
