x, true, terminal, branch, dgm
-8.423273018006673851e+01,8.999999973723985525e-01,8.961683355464961087e-01,8.991745710372924805e-01,nan
-8.248055381279266385e+01,8.987005142429765892e-01,8.947307126648498254e-01,8.981971740722656250e-01,nan
-8.072837744551858918e+01,8.973550848553440984e-01,8.932391706327309500e-01,8.968180418014526367e-01,nan
-7.897620107824451452e+01,8.959611100516351456e-01,8.916904820796764941e-01,8.954442739486694336e-01,nan
-7.722402471097043986e+01,8.945157856171592758e-01,8.900811378501685134e-01,8.940946459770202637e-01,nan
-7.547184834369636519e+01,8.930160842040413272e-01,8.884073604482758402e-01,8.927320241928100586e-01,nan
-7.371967197642229053e+01,8.914587384735931375e-01,8.866650229385625304e-01,8.913744688034057617e-01,nan
-7.196749560914821586e+01,8.898402073839936088e-01,8.848496669894924116e-01,8.897606730461120605e-01,nan
-7.021531924187414120e+01,8.881566558454164761e-01,8.829564226270224525e-01,8.880613446235656738e-01,nan
-6.846314287460006653e+01,8.864039131203520494e-01,8.809799812628832383e-01,8.865411877632141113e-01,nan
-6.671096650732599187e+01,8.845774782250112045e-01,8.789145393164985443e-01,8.847537040710449219e-01,nan
-6.495879014005191721e+01,8.826723912900270586e-01,8.767537711641543163e-01,8.826763033866882324e-01,nan
-6.320661377277784254e+01,8.806832951960407163e-01,8.744906945799223452e-01,8.805459141731262207e-01,nan
-6.145443740550376788e+01,8.786043115263426628e-01,8.721176877654192028e-01,8.787852525711059570e-01,nan
-5.970226103822969321e+01,8.764290120338371626e-01,8.696263207381653704e-01,8.761318325996398926e-01,nan
-5.795008467095561855e+01,8.741503325665103130e-01,8.670073174389933968e-01,8.740087747573852539e-01,nan
-5.619790830368154388e+01,8.717605425721829393e-01,8.642504439737662691e-01,8.716451525688171387e-01,nan
-5.444573193640746922e+01,8.692510925564530533e-01,8.613443078064927372e-01,8.691090345382690430e-01,nan
-5.269355556913339456e+01,8.666125676227642849e-01,8.582763267929178763e-01,8.665259480476379395e-01,nan
