x, true, terminal, branch, dgm
-8.273273018006673851e+01,8.999999973723985525e-01,8.949408667434706199e-01,8.990253210067749023e-01,nan
-8.099570532794417943e+01,8.987119443901590010e-01,8.934703452195755791e-01,8.977268338203430176e-01,nan
-7.925868047582162035e+01,8.973787581042170780e-01,8.919441624234303312e-01,8.965694308280944824e-01,nan
-7.752165562369906127e+01,8.959979084079859879e-01,8.903589414578415573e-01,8.951452374458312988e-01,nan
-7.578463077157650218e+01,8.945666677701974434e-01,8.887110431952887080e-01,8.940555453300476074e-01,nan
-7.404760591945394310e+01,8.930820936123986531e-01,8.869965296075340566e-01,8.925186991691589355e-01,nan
-7.231058106733138402e+01,8.915410122490649014e-01,8.852110961918994159e-01,8.911823034286499023e-01,nan
-7.057355621520882494e+01,8.899399870255461087e-01,8.833500871063715287e-01,8.897696733474731445e-01,nan
-6.883653136308626586e+01,8.882752996263554301e-01,8.814084177251181318e-01,8.884216547012329102e-01,nan
-6.709950651096370677e+01,8.865429098979372702e-01,8.793805442633361169e-01,8.866667747497558594e-01,nan
-6.536248165884114769e+01,8.847384431657697723e-01,8.772604015057836602e-01,8.849793672561645508e-01,nan
-6.362545680671858150e+01,8.828571298509637622e-01,8.750413635327821682e-01,8.830782771110534668e-01,nan
-6.188843195459602242e+01,8.808937727495600445e-01,8.727161453588481166e-01,8.809587359428405762e-01,nan
-6.015140710247346334e+01,8.788426999642481308e-01,8.702767262608765986e-01,8.786610364913940430e-01,nan
-5.841438225035089715e+01,8.766977093621417527e-01,8.677143025305067425e-01,8.765619397163391113e-01,nan
-5.667735739822833807e+01,8.744519967717578890e-01,8.650191447984173498e-01,8.737232089042663574e-01,nan
-5.494033254610577899e+01,8.720981168086652247e-01,8.621804711999673243e-01,8.712121844291687012e-01,nan
-5.320330769398321991e+01,8.696278460729349735e-01,8.591863704573604599e-01,8.686173558235168457e-01,nan
-5.146628284186066082e+01,8.670321438644945644e-01,8.560235922055665636e-01,8.657678365707397461e-01,nan
-4.972925798973810174e+01,8.643010464128463299e-01,8.526773883914819940e-01,8.626289367675781250e-01,nan
-4.799223313761554266e+01,8.614234652953465243e-01,8.491313071134549695e-01,8.596574068069458008e-01,nan
-4.625520828549298358e+01,8.583871768730995111e-01,8.453669485904007352e-01,8.569046258926391602e-01,nan
-4.451818343337042450e+01,8.551785582449342726e-01,8.413637345225750686e-01,8.536722064018249512e-01,nan
-4.278115858124786541e+01,8.517824421434678772e-01,8.370985044902218286e-01,8.505964279174804688e-01,nan
-4.104413372912530633e+01,8.481818900356009605e-01,8.325452476222982012e-01,8.477761149406433105e-01,nan
-3.930710887700274725e+01,8.443579891371020274e-01,8.276746068451540372e-01,8.450983762741088867e-01,nan
-3.757008402488018817e+01,8.402894980495064781e-01,8.224534635369917801e-01,8.423794507980346680e-01,nan
-3.583305917275762198e+01,8.359525860053398372e-01,8.168443319208359421e-01,8.396151661872863770e-01,nan
-3.409603432063506290e+01,8.313204031872000188e-01,8.108048098005966597e-01,8.372888565063476562e-01,nan
-3.235900946851250382e+01,8.263626830367932774e-01,8.042867873166191783e-01,8.344192504882812500e-01,nan
-3.062198461638994473e+01,8.210452224626743067e-01,7.972358106065894345e-01,8.317850232124328613e-01,nan
-2.888495976426738565e+01,8.153293473606327835e-01,7.895902175107454291e-01,8.283503651618957520e-01,nan
