x, true, terminal, branch, dgm, bsde
-2.791257811266647071e+00,9.899999999999973266e-01,9.696289217450654307e-01,9.710019230842590332e-01,1.008004903793334961e+00,9.015552401542663574e-01
-2.765086872186409472e+00,9.872285263359263929e-01,9.649775204259899430e-01,9.699414968490600586e-01,1.003345012664794922e+00,8.964749574661254883e-01
-2.738915933106171874e+00,9.841233601052099544e-01,9.600076657860662221e-01,9.676716923713684082e-01,9.982244372367858887e-01,8.913365602493286133e-01
-2.712744994025934275e+00,9.806866279708679190e-01,9.547227615741744611e-01,9.657486081123352051e-01,9.933596849441528320e-01,8.858477473258972168e-01
-2.686574054945696233e+00,9.769206836784323222e-01,9.491264273100172844e-01,9.635037183761596680e-01,9.882780313491821289e-01,8.804067373275756836e-01
-2.660403115865458634e+00,9.728281064439151526e-01,9.432224958051883545e-01,9.606445431709289551e-01,9.825011491775512695e-01,8.747661709785461426e-01
-2.634232176785221036e+00,9.684116991873588098e-01,9.370150105381597205e-01,9.574434161186218262e-01,9.769915342330932617e-01,8.689603805541992188e-01
-2.608061237704983437e+00,9.636744866131742304e-01,9.305082228849882453e-01,9.537941217422485352e-01,9.708961248397827148e-01,8.630750775337219238e-01
-2.581890298624745839e+00,9.586197131385850723e-01,9.237065892076379292e-01,9.499701261520385742e-01,9.649878740310668945e-01,8.571354150772094727e-01
-2.555719359544508240e+00,9.532508406715939353e-01,9.166147678019116452e-01,9.453321695327758789e-01,9.588538408279418945e-01,8.510869741439819336e-01
-2.529548420464270642e+00,9.475715462399952882e-01,9.092376157070820586e-01,9.407923817634582520e-01,9.521824717521667480e-01,8.450069427490234375e-01
-2.503377481384033043e+00,9.415857194730559154e-01,9.015801853794068732e-01,9.355502128601074219e-01,9.455819129943847656e-01,8.386381864547729492e-01
-2.477206542303795445e+00,9.352974599375896148e-01,8.936477212318094665e-01,9.297229051589965820e-01,9.382445216178894043e-01,8.322257995605468750e-01
-2.451035603223557402e+00,9.287110743302503524e-01,8.854456560420892464e-01,9.235388040542602539e-01,9.314644932746887207e-01,8.256489038467407227e-01
