x, branch
1.000000000000000000e+00,3.601864337921142578e+00
1.111111164093017578e+00,3.912420272827148438e+00
1.222222208976745605e+00,4.068876743316650391e+00
1.333333373069763184e+00,4.361330509185791016e+00
1.444444417953491211e+00,4.546672821044921875e+00
1.555555582046508789e+00,4.792559623718261719e+00
1.666666626930236816e+00,4.951300144195556641e+00
1.777777791023254395e+00,5.165938377380371094e+00
1.888888835906982422e+00,5.326345443725585938e+00
2.000000000000000000e+00,5.499351978302001953e+00
