x, true, terminal
1.000000000000000000e+00,3.645352187571067937e+00,3.301927248894626299e+00
1.010101010101010166e+00,3.666483512772357845e+00,3.324125183292495844e+00
1.020202020202020110e+00,3.687554118427612160e+00,3.346249246326621574e+00
1.030303030303030276e+00,3.708564696474518918e+00,3.368300411620971158e+00
1.040404040404040442e+00,3.729515925168694235e+00,3.390279630562404556e+00
1.050505050505050608e+00,3.750408469466929962e+00,3.412187833019200589e+00
1.060606060606060552e+00,3.771242981396601746e+00,3.434025928029687424e+00
1.070707070707070718e+00,3.792020100411847672e+00,3.455794804462504644e+00
1.080808080808080884e+00,3.812740453737089918e+00,3.477495331649903765e+00
1.090909090909090828e+00,3.833404656698462531e+00,3.499128359995446580e+00
1.101010101010100994e+00,3.854013313043654243e+00,3.520694721557355855e+00
1.111111111111111160e+00,3.874567015250658830e+00,3.542195230608703227e+00
1.121212121212121104e+00,3.895066344825912630e+00,3.563630684175568053e+00
1.131313131313131271e+00,3.915511872592261522e+00,3.585001862554213492e+00
1.141414141414141437e+00,3.935904158967168165e+00,3.606309529808280789e+00
1.151515151515151603e+00,3.956243754231585363e+00,3.627554434246947235e+00
1.161616161616161547e+00,3.976531198789861943e+00,3.648737308884928865e+00
1.171717171717171713e+00,3.996767023421053722e+00,3.669858871885182783e+00
1.181818181818181879e+00,4.016951749521977533e+00,3.690919826985081809e+00
1.191919191919192045e+00,4.037085889342355571e+00,3.711920863906838175e+00
1.202020202020201989e+00,4.057169946212352940e+00,3.732862658752869933e+00
1.212121212121212155e+00,4.077204414762805484e+00,3.753745874386789527e+00
1.222222222222222321e+00,4.097189781138436793e+00,3.774571160800654912e+00
1.232323232323232265e+00,4.117126523204332145e+00,3.795339155469083625e+00
1.242424242424242431e+00,4.137015110745923430e+00,3.816050483690809791e+00
1.252525252525252597e+00,4.156856005662743492e+00,3.836705758918215192e+00
1.262626262626262541e+00,4.176649662156185272e+00,3.857305583075369970e+00
1.272727272727272707e+00,4.196396526911481573e+00,3.877850546865055037e+00
1.282828282828282873e+00,4.216097039274145253e+00,3.898341230065239138e+00
1.292929292929292817e+00,4.235751631421049268e+00,3.918778201815456885e+00
1.303030303030302983e+00,4.255360728526368597e+00,3.939162020893499871e+00
1.313131313131313149e+00,4.274924748922558138e+00,3.959493235982826320e+00
1.323232323232323315e+00,4.294444104256551320e+00,3.979772385931068968e+00
1.333333333333333481e+00,4.313919199641360613e+00,3.999999999999999556e+00
1.343434343434343425e+00,4.333350433803230040e+00,4.020176598107301658e+00
1.353535353535353591e+00,4.352738199224520876e+00,4.040302691060471574e+00
1.363636363636363757e+00,4.372082882282454896e+00,4.060378780783166164e+00
1.373737373737373701e+00,4.391384863383886561e+00,4.080405360534292925e+00
1.383838383838383868e+00,4.410644517096231176e+00,4.100382915120132310e+00
1.393939393939394034e+00,4.429862212274681355e+00,4.120311921099749419e+00
1.404040404040403978e+00,4.449038312185845001e+00,4.140192846983970831e+00
1.414141414141414144e+00,4.468173174627933619e+00,4.160026153428162843e+00
1.424242424242424310e+00,4.487267152047596852e+00,4.179812293419050029e+00
1.434343434343434254e+00,4.506320591653550700e+00,4.199551712455793506e+00
1.444444444444444420e+00,4.525333835527075799e+00,4.219244848725565156e+00
1.454545454545454586e+00,4.544307220729510099e+00,4.238892133273785667e+00
1.464646464646464752e+00,4.563241079406829215e+00,4.258493990169263554e+00
