x, branch
-4.000000000000000000e+00,2.580502510070800781e+00
-3.111111164093017578e+00,2.060466766357421875e+00
-2.222222328186035156e+00,1.367818474769592285e+00
-1.333333253860473633e+00,6.818068027496337891e-01
-4.444444179534912109e-01,1.573313623666763306e-01
4.444444179534912109e-01,7.155248522758483887e-01
1.333333253860473633e+00,1.382222056388854980e+00
2.222222328186035156e+00,2.119584560394287109e+00
3.111111164093017578e+00,2.650982856750488281e+00
4.000000000000000000e+00,3.061798810958862305e+00
