x, true, terminal
-4.000000000000000000e+00,2.583997552432231171e+00,2.833213344056216165e+00
-3.919191919191919116e+00,2.540883103650158237e+00,2.794843322576124223e+00
-3.838383838383838231e+00,2.496901642391834653e+00,2.755772524905464316e+00
-3.757575757575757791e+00,2.452021806636008439e+00,2.715977071877504478e+00
-3.676767676767676907e+00,2.406210863344959705e+00,2.675432001365870338e+00
-3.595959595959596022e+00,2.359434675466292042e+00,2.634111218878294025e+00
-3.515151515151515138e+00,2.311657678277935890e+00,2.591987447996341398e+00
-3.434343434343434254e+00,2.262842868507505045e+00,2.549032181361639893e+00
-3.353535353535353369e+00,2.212951810598956737e+00,2.505215633129961095e+00
-3.272727272727272485e+00,2.161944665690416656e+00,2.460506694093939295e+00
-3.191919191919192045e+00,2.109780250373380461e+00,2.414872891028485125e+00
-3.111111111111111160e+00,2.056416134209345881e+00,2.368280352259440669e+00
-3.030303030303030276e+00,2.001808787391626598e+00,2.320693782020255114e+00
-2.949494949494949392e+00,1.945913792991712077e+00,2.272076446874506495e+00
-2.868686868686868507e+00,1.888686142089500475e+00,2.222390178383405690e+00
-2.787878787878788067e+00,1.830080634965251640e+00,2.171595397337048094e+00
-2.707070707070706739e+00,1.770052417688278812e+00,2.119651166309552082e+00
-2.626262626262626299e+00,1.708557691191146422e+00,2.066515279121818427e+00
-2.545454545454545414e+00,1.645554639649790651e+00,2.012144398103184795e+00
-2.464646464646464530e+00,1.581004637145247749e+00,1.956494252963208114e+00
-2.383838383838383645e+00,1.514873806660337996e+00,1.899519918778523664e+00
-2.303030303030302761e+00,1.447135023984964741e+00,1.841176195269110805e+00
-2.222222222222222321e+00,1.377770481536990888e+00,1.781418115433322624e+00
-2.141414141414140992e+00,1.306774953735166722e+00,1.720201619038345120e+00
-2.060606060606060552e+00,1.234159936233948152e+00,1.657484435791501953e+00
-1.979797979797979668e+00,1.159958865032767905e+00,1.593227234681947602e+00
-1.898989898989898784e+00,1.084233655625364889e+00,1.527395110472399509e+00
-1.818181818181817899e+00,1.007082831703690617e+00,1.459959496156625569e+00
-1.737373737373737015e+00,9.286515278709362997e-01,1.390900611868244541e+00
-1.656565656565656575e+00,8.491436350168777292e-01,1.320210586563059785e+00
-1.575757575757575690e+00,7.688362843302136707e-01,1.247897418755938403e+00
-1.494949494949494806e+00,6.880966970619789569e-01,1.173989975864951907e+00
-1.414141414141413922e+00,6.074011073077004719e-01,1.098544266084585441e+00
-1.333333333333333037e+00,5.273549257172009952e-01,1.021651247531980999e+00
-1.252525252525252153e+00,4.487124826554136359e-01,9.434464580548347357e-01
-1.171717171717171269e+00,3.723935283103200211e-01,8.641217407010755025e-01
-1.090909090909090828e+00,2.994922225597992926e-01,7.839392803894809081e-01
-1.010101010101009944e+00,2.312728512399926106e-01,7.032480201886145421e-01
-9.292929292929290597e-01,1.691454815941181578e-01,6.225022389602028472e-01
-8.484848484848481753e-01,1.146150804240317900e-01,5.422815795111277648e-01
-7.676767676767672910e-01,6.920031179334656946e-02,4.633110460574256795e-01
-6.868686868686864067e-01,3.432403834324546793e-02,3.864783911071200118e-01
-6.060606060606059664e-01,1.118605431742875078e-02,3.128449097510483945e-01
-5.252525252525250821e-01,6.374867937384315775e-04,2.436441430425394239e-01
-4.444444444444441977e-01,3.081666537408114370e-03,1.802618238309438570e-01
-3.636363636363633134e-01,1.842426732605850423e-02,1.241903802313836375e-01
-2.828282828282824291e-01,4.608513242896880580e-02,7.695348329978553281e-02
-2.020202020202015447e-01,8.506878805533647780e-02,4.000133341333877296e-02
-1.212121212121211045e-01,1.340764690204322707e-01,1.458549101889279262e-02
-4.040404040404022012e-02,1.916350892879825907e-01,1.631155423341576005e-03
4.040404040404066421e-02,2.562196765436031143e-01,1.631155423341576005e-03
1.212121212121219926e-01,3.263529947435758194e-01,1.458549101889301293e-02
2.020202020202024329e-01,4.006752309700414294e-01,4.000133341333919623e-02
2.828282828282828731e-01,4.779842742609675121e-01,7.695348329978572710e-02
3.636363636363642016e-01,5.572517206405427359e-01,1.241903802313842203e-01
4.444444444444446418e-01,6.376214201438822338e-01,1.802618238309442456e-01
5.252525252525259702e-01,7.183970722496080263e-01,2.436441430425401178e-01
6.060606060606064105e-01,7.990240917882456273e-01,3.128449097510487276e-01
6.868686868686868507e-01,8.790694469570525804e-01,3.864783911071204558e-01
7.676767676767681792e-01,9.582018178450076862e-01,4.633110460574265121e-01
8.484848484848486194e-01,1.036173388127989092e+00,5.422815795111282089e-01
9.292929292929299478e-01,1.112803869367745335e+00,6.225022389602036244e-01
1.010101010101010388e+00,1.187966908889602102e+00,7.032480201886149862e-01
1.090909090909091717e+00,1.261578776398959878e+00,7.839392803894819073e-01
1.171717171717172157e+00,1.333589097270895696e+00,8.641217407010765017e-01
1.252525252525252597e+00,1.403973352925693030e+00,9.434464580548350687e-01
1.333333333333333925e+00,1.472726866892198672e+00,1.021651247531981888e+00
1.414141414141414366e+00,1.539860016996423608e+00,1.098544266084586107e+00
1.494949494949495694e+00,1.605394446111057860e+00,1.173989975864952795e+00
1.575757575757576134e+00,1.669360078327775110e+00,1.247897418755938848e+00
1.656565656565657463e+00,1.731792780179859825e+00,1.320210586563060673e+00
1.737373737373737903e+00,1.792732535760174883e+00,1.390900611868245207e+00
1.818181818181818343e+00,1.852222029622856647e+00,1.459959496156626013e+00
1.898989898989899672e+00,1.910305552275727514e+00,1.527395110472400175e+00
1.979797979797980112e+00,1.967028160239834955e+00,1.593227234681948046e+00
2.060606060606061440e+00,2.022435036573412948e+00,1.657484435791502841e+00
2.141414141414141881e+00,2.076571008947930341e+00,1.720201619038345786e+00
2.222222222222222321e+00,2.129480191305014980e+00,1.781418115433322624e+00
2.303030303030303649e+00,2.181205722236836397e+00,1.841176195269111471e+00
2.383838383838384090e+00,2.231789578876241187e+00,1.899519918778524108e+00
2.464646464646465418e+00,2.281272449551872583e+00,1.956494252963208780e+00
2.545454545454545858e+00,2.329693651998107295e+00,2.012144398103185239e+00
2.626262626262627187e+00,2.377091086703567058e+00,2.066515279121818871e+00
2.707070707070707627e+00,2.423501217189854451e+00,2.119651166309552526e+00
2.787878787878788067e+00,2.468959070757059671e+00,2.171595397337048094e+00
2.868686868686869396e+00,2.513498254611820748e+00,2.222390178383406134e+00
2.949494949494949836e+00,2.557150983384267828e+00,2.272076446874506939e+00
3.030303030303031164e+00,2.599948114902754792e+00,2.320693782020256002e+00
3.111111111111111605e+00,2.641919191777674758e+00,2.368280352259441113e+00
3.191919191919192933e+00,2.683092486885693795e+00,2.414872891028485569e+00
3.272727272727273373e+00,2.723495051273018941e+00,2.460506694093939739e+00
