x, branch
-3.000000000000000000e+00,-9.660355448722839355e-01
-2.333333253860473633e+00,-4.360815286636352539e-01
-1.666666626930236816e+00,1.092515885829925537e-01
-9.999999403953552246e-01,6.927818655967712402e-01
-3.333332538604736328e-01,9.931328296661376953e-01
3.333332538604736328e-01,8.902255892753601074e-01
9.999999403953552246e-01,3.839468657970428467e-01
1.666666626930236816e+00,-2.964380681514739990e-01
2.333333253860473633e+00,-8.457112312316894531e-01
3.000000000000000000e+00,-1.015524625778198242e+00
