x, true, terminal
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.587155963302752548e-03,2.291165860296164557e-04,1.523694312186588346e-03
9.174311926605505096e-03,4.567881838208991672e-04,3.015356386356022982e-03
1.376146788990825764e-02,6.815812248143514936e-04,4.443531690844850640e-03
1.834862385321101019e-02,9.020849638901615262e-04,5.777959899527444765e-03
2.293577981651376274e-02,1.116922846799788286e-03,6.990262281536922806e-03
2.752293577981651529e-02,1.324763812046842164e-03,8.054718528222077831e-03
3.211009174311926784e-02,1.524333485223941216e-03,8.949131152398721173e-03
3.669724770642202039e-02,1.714425207616287550e-03,9.655749057267857052e-03
4.128440366972477293e-02,1.893910821986015880e-03,1.016219140093435613e-02
4.587155963302752548e-02,2.061751117762862951e-03,1.046228272847683945e-02
5.045871559633027803e-02,2.217005816474325406e-03,1.055668692616369003e-02
5.504587155963303058e-02,2.358842957402720354e-03,1.045321866877017489e-02
5.963302752293578313e-02,2.486547524540583688e-03,1.016672394211566230e-02
6.422018348623853568e-02,2.599529140399543282e-03,9.718459857745853983e-03
6.880733944954128822e-02,2.697328641604539168e-03,9.134966142909975093e-03
7.339449541284404077e-02,2.779623346911106341e-03,8.446496673345934084e-03
7.798165137614679332e-02,2.846230831601701504e-03,7.685153233777188703e-03
8.256880733944954587e-02,2.897111034172874557e-03,6.882917267021448036e-03
8.715596330275229842e-02,2.932366542477609760e-03,6.069794425252299404e-03
9.174311926605505096e-02,2.952240937229031869e-03,5.272265929458690506e-03
9.633027522935780351e-02,2.957115110646990879e-03,4.512185698477474798e-03
1.009174311926605561e-01,2.947501526081900206e-03,3.806187395260825744e-03
1.055045871559633086e-01,2.924036439113512128e-03,3.165589059674308800e-03
1.100917431192660612e-01,2.887470159756151938e-03,2.596720718692393202e-03
1.146788990825688137e-01,2.838655496383880004e-03,2.101561781683665333e-03
1.192660550458715663e-01,2.778534581855935867e-03,1.678562085310508854e-03
1.238532110091743188e-01,2.708124337955447169e-03,1.323528998463259802e-03
1.284403669724770714e-01,2.628500882591703475e-03,1.030485607059417530e-03
1.330275229357798239e-01,2.540783222480980704e-03,7.924337854287994126e-04
1.376146788990825764e-01,2.446116599934084531e-03,6.019845121138056414e-04
1.422018348623853290e-01,2.345655874343166320e-03,4.518419864511471931e-04
1.467889908256880815e-01,2.240549316191416899e-03,3.351460702772457532e-04
1.513761467889908341e-01,2.131923174001035346e-03,2.456891369839126556e-04
1.559633027522935866e-01,2.020867343552333259e-03,1.780294085493306364e-04
1.605504587155963392e-01,1.908422425706563430e-03,1.275246036689100062e-04
1.651376146788990917e-01,1.795568406651954071e-03,9.030856347185111798e-05
1.697247706422018443e-01,1.683215135228829495e-03,6.323065097067164366e-05
1.743119266055045968e-01,1.572194709276973808e-03,4.377405887116025046e-05
1.788990825688073494e-01,1.463255819801981402e-03,2.996535892717630911e-05
1.834862385321101019e-01,1.357060041097728730e-03,2.028409906080707404e-05
1.880733944954128545e-01,1.254179999338309601e-03,1.357822970281756238e-05
1.926605504587156070e-01,1.155099303611287730e-03,8.988710044432912213e-06
1.972477064220183596e-01,1.060214083370220094e-03,5.884808342530577150e-06
2.018348623853211121e-01,9.698359456954557022e-04,3.810312289259417574e-06
