x, branch
0.000000000000000000e+00,2.131904511770699173e-05
3.490658700466156006e-01,3.137236237525939941e-01
6.981317400932312012e-01,6.125534772872924805e-01
1.047197580337524414e+00,6.748275160789489746e-01
1.396263480186462402e+00,4.958775043487548828e-01
1.745329260826110840e+00,8.243378400802612305e-01
2.094395160675048828e+00,1.353952884674072266e+00
2.443460941314697266e+00,1.023205041885375977e+00
2.792526960372924805e+00,3.963641226291656494e-01
3.141592741012573242e+00,-1.127739815274253488e-04
