x, branch
0.000000000000000000e+00,-1.591717045812401921e-05
1.111111119389533997e-01,1.348020881414413452e-02
2.222222238779067993e-01,1.754351705312728882e-02
3.333333432674407959e-01,1.266797259449958801e-02
4.444444477558135986e-01,5.991079378873109818e-03
5.555555820465087891e-01,1.935322768986225128e-03
6.666666865348815918e-01,4.392306436784565449e-04
7.777777910232543945e-01,6.982642662478610873e-05
8.888888955116271973e-01,8.107412213576026261e-06
1.000000000000000000e+00,5.797826929665461648e-07
