x, branch
-7.853981852531433105e-01,-8.351999521255493164e-01
-6.108652353286743164e-01,-5.511997938156127930e-01
-4.363323152065277100e-01,-3.409913182258605957e-01
-2.617993950843811035e-01,-1.604789793491363525e-01
-8.726644515991210938e-02,1.121107209473848343e-02
8.726644515991210938e-02,1.889238059520721436e-01
2.617993950843811035e-01,3.768084645271301270e-01
4.363323152065277100e-01,5.945738554000854492e-01
6.108652353286743164e-01,8.712656497955322266e-01
7.853981852531433105e-01,1.156538486480712891e+00
