x, true, terminal
-7.853981633974482790e-01,-8.176288094325201428e-01,-9.999999999999998890e-01
-7.695315338338634126e-01,-7.914919507994476744e-01,-9.687597960000924324e-01
-7.536649042702786572e-01,-7.660034735280411011e-01,-9.384655150452010375e-01
-7.377982747066937907e-01,-7.411271757347251965e-01,-9.090602519021614425e-01
-7.219316451431090353e-01,-7.168291763917810089e-01,-8.804912634414869821e-01
-7.060650155795241689e-01,-6.930777212168836021e-01,-8.527095840384626424e-01
-6.901983860159394135e-01,-6.698430072611776254e-01,-8.256696824318200401e-01
-6.743317564523545471e-01,-6.470970241044581295e-01,-7.993291548980109296e-01
-6.584651268887697917e-01,-6.248134098278383952e-01,-7.736484503141870528e-01
-6.425984973251849253e-01,-6.029673201596980059e-01,-7.485906232880386035e-01
-6.267318677616001699e-01,-5.815353093852648758e-01,-7.241211120461613637e-01
-6.108652381980153034e-01,-5.604952217784923141e-01,-7.002075382097097123e-01
-5.949986086344305480e-01,-5.398260924608336842e-01,-6.768195259592127977e-01
-5.791319790708456816e-01,-5.195080567183238962e-01,-6.539285384097743847e-01
-5.632653495072608152e-01,-4.995222669188020825e-01,-6.315077292919535346e-01
-5.473987199436760598e-01,-4.798508162674526289e-01,-6.095318082694120010e-01
-5.315320903800913044e-01,-4.604766687230673616e-01,-5.879769184277846561e-01
-5.156654608165064380e-01,-4.413835944712001802e-01,-5.668205246450420676e-01
-4.997988312529216270e-01,-4.225561104151062675e-01,-5.460413117059497168e-01
-4.839322016893368161e-01,-4.039794252022385623e-01,-5.256190911555137513e-01
-4.680655721257520052e-01,-3.856393883541491263e-01,-5.055347160014267427e-01
-4.521989425621671943e-01,-3.675224431117885548e-01,-4.857700024759026292e-01
-4.363323129985823834e-01,-3.496155826471650241e-01,-4.663076581549985833e-01
-4.204656834349975725e-01,-3.319063093267869413e-01,-4.471312158102919709e-01
-4.045990538714127061e-01,-3.143825967427993917e-01,-4.282249724351009368e-01
-3.887324243078278951e-01,-2.970328542547518991e-01,-4.095739329465779011e-01
-3.728657947442430842e-01,-2.798458938088908554e-01,-3.911637581170362976e-01
-3.569991651806582733e-01,-2.628108988231400156e-01,-3.729807163337255371e-01
-3.411325356170734624e-01,-2.459173949448181795e-01,-3.550116388267320899e-01
-3.252659060534886515e-01,-2.291552225049158509e-01,-3.372438780404458658e-01
-3.093992764899038406e-01,-2.125145105076598484e-01,-3.196652688556668176e-01
-2.935326469263190297e-01,-1.959856520073283426e-01,-3.022640923974522775e-01
-2.776660173627342187e-01,-1.795592807360282539e-01,-2.850290421886518821e-01
-2.617993877991493523e-01,-1.632262488565628944e-01,-2.679491924311226403e-01
-2.459327582355645969e-01,-1.469776057237362765e-01,-2.510139682161939834e-01
-2.300661286719797305e-01,-1.308045775455794202e-01,-2.342131174833379514e-01
-2.141994991083949751e-01,-1.146985478431494648e-01,-2.175366845614490341e-01
-1.983328695448101087e-01,-9.865103861382146233e-02,-2.009749851408557664e-01
-1.824662399812253533e-01,-8.265369210845985304e-02,-1.845185825363706567e-01
-1.665996104176404868e-01,-6.669825313756549967e-02,-1.681582651124849670e-01
-1.507329808540557314e-01,-5.077655182552390928e-02,-1.518850247513868768e-01
-1.348663512904708650e-01,-3.488048673545349893e-02,-1.356900362529320503e-01
-1.189997217268861096e-01,-1.900200828993491367e-02,-1.195646375631482655e-01
-1.031330921633012432e-01,-3.133102415097376633e-03,-1.035003107343849121e-01
-8.726646259971648778e-02,1.273422566279993999e-02,-8.748866352592402085e-02
-7.139983303613162136e-02,2.860796753803507980e-02,-7.152141155879700174e-02
-5.553320347254686595e-02,4.449612773246581360e-02,-5.559036094278586165e-02
-3.966657390896199953e-02,6.040673985798118012e-02,-3.968739129715042474e-02
-2.379994434537713310e-02,7.634788290379668219e-02,-2.380443908958468358e-02
-7.933314781792377701e-03,9.232769771895457667e-02,-7.933481220271666398e-03
7.933314781792488724e-03,1.083544037618309197e-01,7.933481220271777420e-03
2.379994434537724413e-02,1.244363161904339793e-01,2.380443908958479460e-02
3.966657390896211055e-02,1.405818633698285303e-01,3.968739129715053576e-02
